#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr4:35798451-35801558   -           1036 7941at71240          -            811         0 1134.3  23.7   1   2  4.5e-155  8.5e-154  512.8  13.5    17   421   122   567   112   581 0.91 -
Pcitr_chr4:35798451-35801558   -           1036 7941at71240          -            811         0 1134.3  23.7   2   2  1.4e-189  2.6e-188  627.0   1.7   417   811   615  1027   598  1027 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   1  11   6.3e-20   1.2e-18   65.8   0.0   712   802     1    91     1    93 0.98 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   2  11   1.5e-18   2.8e-17   61.2   0.0   704   802    63   161    62   166 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   3  11   4.4e-33   8.3e-32  109.3   0.0   623   803   152   334   151   338 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   4  11   6.5e-34   1.2e-32  112.0   0.0   625   810   224   411   222   412 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   5  11   8.5e-34   1.6e-32  111.7   0.0   623   802   324   505   323   510 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   6  11   2.9e-20   5.5e-19   66.9   0.0   703   802   441   540   436   545 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   7  11   4.7e-24   8.9e-23   79.4   0.0   653   783   493   626   492   627 0.95 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   8  11   5.2e-15   9.7e-14   49.5   0.0   703   779   616   692   612   695 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0   9  11   2.9e-19   5.4e-18   63.6   0.0   703   809   686   792   685   793 0.97 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0  10  11   1.5e-19   2.9e-18   64.5   0.0   703   808   791   896   787   898 0.96 -
Pcitr_chr11:10900570-10903524  -            985 7941at71240          -            811    1e-230  767.2   0.0  11  11   2.5e-16   4.7e-15   53.9   0.0   703   791   896   984   893   985 0.97 -
Pcitr_chr11:10900939-10903356  -            806 7941at71240          -            811  3.7e-192  639.7   0.0   1  10   5.7e-20   1.1e-18   65.9   0.0   702   809     8   115     2   116 0.91 -
Pcitr_chr11:10900939-10903356  -            806 7941at71240          -            811  3.7e-192  639.7   0.0   2  10   3.6e-19   6.9e-18   63.3   0.0   703   807    79   180    76   183 0.93 -
Pcitr_chr11:10900939-10903356  -            806 7941at71240          -            811  3.7e-192  639.7   0.0   3  10   8.2e-34   1.6e-32  111.7   0.0   625   810   101   288   101   289 0.96 -
