#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000978l:51569-67965   -           1332 2954at71240          -           1110         0 1901.6  28.4   1   5   7.5e-84     2e-80  270.3   1.4     1   206     6   268     6   283 0.86 -
h2tg000978l:51569-67965   -           1332 2954at71240          -           1110         0 1901.6  28.4   2   5   2.1e-10   5.8e-07   27.1   0.2   214   240   346   372   329   374 0.80 -
h2tg000978l:51569-67965   -           1332 2954at71240          -           1110         0 1901.6  28.4   3   5  1.4e-114  3.8e-111  372.1   0.6   271   441   373   543   371   554 0.97 -
h2tg000978l:51569-67965   -           1332 2954at71240          -           1110         0 1901.6  28.4   4   5  2.3e-183  6.2e-180  599.8   0.2   444   765   606   943   593   960 0.93 -
h2tg000978l:51569-67965   -           1332 2954at71240          -           1110         0 1901.6  28.4   5   5  4.5e-198  1.2e-194  648.5   2.5   771  1110   986  1332   969  1332 0.96 -
h2tg000800l:632840-638684 -           1626 2954at71240          -           1110   8.6e-36  122.5   0.0   1   3   8.7e-08   0.00024   18.4   0.0   242   408   523   717   497   722 0.69 -
h2tg000800l:632840-638684 -           1626 2954at71240          -           1110   8.6e-36  122.5   0.0   2   3   7.6e-19   2.1e-15   55.0   0.0   466   617   751   902   731   924 0.87 -
h2tg000800l:632840-638684 -           1626 2954at71240          -           1110   8.6e-36  122.5   0.0   3   3   7.3e-16     2e-12   45.2   0.0   244   409  1371  1557  1350  1562 0.74 -
h2tg000432l:24614-136     -           2043 2954at71240          -           1110   1.6e-22   78.6   0.0   1   2     0.013        35    1.3   0.0   308   360   573   627   487   633 0.66 -
h2tg000432l:24614-136     -           2043 2954at71240          -           1110   1.6e-22   78.6   0.0   2   2   8.9e-25   2.4e-21   74.7   0.0   368   620   661   893   656   903 0.81 -
h2tg000676l:244122-242839 -            428 2954at71240          -           1110   2.5e-21   74.6   0.0   1   2   6.3e-08   0.00017   18.9   0.1   274   408    38   189     1   199 0.70 -
h2tg000676l:244122-242839 -            428 2954at71240          -           1110   2.5e-21   74.6   0.0   2   2   1.6e-18   4.2e-15   54.0   0.0   454   617   205   374   197   396 0.85 -
h2tg001326l:20852-14974   -            586 2954at71240          -           1110      0.04   11.0   0.1   1   1     3e-05     0.082   10.0   0.1   532   611   438   509   416   518 0.84 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/2954at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/hmmer_output/initial_run_results/2954at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/2954at71240.hmm /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul 16 10:01:17 2024
# [ok]
