#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_7:1745846-1748437    -            864 67069at71240         -            523    1e-206  684.5  31.6   1   4   2.3e-39   1.1e-38  130.1   0.7    92   262     3   180     1   180 0.92 -
scaffold_7:1745846-1748437    -            864 67069at71240         -            523    1e-206  684.5  31.6   2   4   2.7e-43   1.2e-42  143.0   3.2    78   261    85   281    85   282 0.89 -
scaffold_7:1745846-1748437    -            864 67069at71240         -            523    1e-206  684.5  31.6   3   4   2.5e-39   1.1e-38  130.0   3.9    93   262   208   383   206   397 0.92 -
scaffold_7:1745846-1748437    -            864 67069at71240         -            523    1e-206  684.5  31.6   4   4   3.9e-98   1.8e-97  324.0   1.8    76   518   287   738   286   744 0.89 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   1   6   5.1e-09   2.4e-08   29.9   0.0   114   166     2    54     1    58 0.96 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   2   6   8.1e-40   3.7e-39  131.6   0.1    69   263    53   260    50   264 0.93 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   3   6   2.7e-32   1.2e-31  106.8   0.1    94   261   187   361   184   364 0.95 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   4   6   3.1e-22   1.4e-21   73.6   0.0    89   195   285   396   264   396 0.87 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   5   6   5.2e-45   2.4e-44  148.7   0.0    85   262   382   564   367   565 0.92 -
scaffold_5:30180203-30182731  -            843 67069at71240         -            523  4.4e-203  672.5   3.2   6   6   2.3e-66   1.1e-65  219.1   0.0   300   518   485   718   484   724 0.93 -
scaffold_11:18170806-18168620 -            729 67069at71240         -            523  2.2e-171  567.9  10.9   1   4   2.5e-37   1.2e-36  123.4   0.0   111   261     2   157     1   158 0.95 -
scaffold_11:18170806-18168620 -            729 67069at71240         -            523  2.2e-171  567.9  10.9   2   4   9.8e-49   4.5e-48  161.0   0.1    77   263    63   262    63   263 0.92 -
scaffold_11:18170806-18168620 -            729 67069at71240         -            523  2.2e-171  567.9  10.9   3   4   2.1e-43   9.8e-43  143.4   2.7    77   264   166   364   164   366 0.92 -
scaffold_11:18170806-18168620 -            729 67069at71240         -            523  2.2e-171  567.9  10.9   4   4     7e-51   3.3e-50  168.1   0.0   286   519   365   616   364   621 0.90 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   1   6     4e-11   1.8e-10   36.9   0.1   127   221     1   100     1   104 0.92 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   2   6   5.7e-22   2.6e-21   72.7   3.1    93   259    68   247    68   251 0.87 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   3   6   1.5e-28   6.9e-28   94.4   3.0    92   262   174   352   164   354 0.91 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   4   6   1.3e-30   5.9e-30  101.2   1.1    81   261   267   453   260   456 0.91 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   5   6     7e-36   3.2e-35  118.6   0.3    79   262   360   555   357   555 0.89 -
scaffold_84:119155-121398     -            748 67069at71240         -            523  8.6e-171  566.0  31.9   6   6   1.6e-60   7.4e-60  199.9   0.0   284   519   456   713   454   718 0.89 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   1   6   1.2e-11   5.3e-11   38.7   0.1   126   221     2   102     1   108 0.91 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   2   6   7.9e-12   3.7e-11   39.2   0.4    93   175    70   163    70   173 0.80 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   3   6   8.5e-29   3.9e-28   95.2   2.8    91   262   175   354   153   358 0.90 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   4   6   1.2e-30   5.4e-30  101.3   0.9    81   261   269   455   263   458 0.91 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   5   6   6.4e-36     3e-35  118.7   0.3    78   262   361   557   358   557 0.89 -
scaffold_43:1215101-1212870   -            744 67069at71240         -            523    3e-161  534.5  27.0   6   6   1.1e-59   4.9e-59  197.2   0.0   284   519   458   715   456   720 0.89 -
scaffold_4:2994913-2992712    -            734 67069at71240         -            523  5.4e-155  513.8   9.7   1   6   1.5e-35     7e-35  117.5   0.1    85   254    11   185     5   185 0.96 -
scaffold_4:2994913-2992712    -            734 67069at71240         -            523  5.4e-155  513.8   9.7   2   6   6.3e-33   2.9e-32  108.8   0.0   115   261   173   324   170   342 0.95 -
