#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr6:32974628-32971311  -            236 27600at71240         -            507  4.3e-106  351.7   0.4   1   2   4.2e-52   4.4e-50  166.9   0.3   187   272     1    86     1    87 0.99 -
Pcitr_chr6:32974628-32971311  -            236 27600at71240         -            507  4.3e-106  351.7   0.4   2   2   2.3e-57   2.3e-55  184.3   0.0   371   506    86   236    84   236 0.92 -
Pcitr_chr6:32969098-32963221  -            268 27600at71240         -            507     8e-99  327.7   3.0   1   3   4.6e-20   4.8e-18   61.2   0.1   133   170     1    38     1    48 0.95 -
Pcitr_chr6:32969098-32963221  -            268 27600at71240         -            507     8e-99  327.7   3.0   2   3   2.8e-26   2.9e-24   81.7   0.7   223   270    69   116    53   118 0.92 -
Pcitr_chr6:32969098-32963221  -            268 27600at71240         -            507     8e-99  327.7   3.0   3   3   2.6e-57   2.7e-55  184.1   0.0   371   507   117   268   116   268 0.92 -
Pcitr_chr6:32971965-33056882  -            140 27600at71240         -            507   1.4e-47  158.6   0.0   1   1   1.8e-49   1.8e-47  158.3   0.0   272   374     1   118     1   136 0.89 -
Pcitr_chr10:18145380-18146753 -            458 27600at71240         -            507   1.8e-15   52.7   0.1   1   1   3.2e-14   3.3e-12   41.9   0.1    37   505     6   457     1   458 0.70 -
Pcitr_chr10:18131751-18133124 -            458 27600at71240         -            507   7.9e-15   50.6   0.1   1   1   1.1e-13   1.2e-11   40.2   0.1    34   506     3   455     1   456 0.74 -
Pcitr_chr1:37923292-37873882  -            474 27600at71240         -            507   5.9e-14   47.7   0.0   1   2   1.8e-06   0.00019   16.4   0.0    26   107     9    89     2   173 0.63 -
Pcitr_chr1:37923292-37873882  -            474 27600at71240         -            507   5.9e-14   47.7   0.0   2   2   1.1e-08   1.1e-06   23.7   0.0   372   505   331   473   202   474 0.69 -
Pcitr_chr2:14282245-14280872  -            458 27600at71240         -            507   2.2e-12   42.5   0.1   1   2   1.8e-06   0.00019   16.4   0.0    35   170     4   152     1   162 0.75 -
Pcitr_chr2:14282245-14280872  -            458 27600at71240         -            507   2.2e-12   42.5   0.1   2   2   4.5e-08   4.7e-06   21.7   0.1   223   506   186   455   179   456 0.72 -
Pcitr_chr4:22687769-22689124  -            452 27600at71240         -            507   9.2e-11   37.2   0.0   1   2   5.6e-08   5.8e-06   21.4   0.0   132   326   106   279     3   297 0.78 -
Pcitr_chr4:22687769-22689124  -            452 27600at71240         -            507   9.2e-11   37.2   0.0   2   2   0.00031     0.033    9.0   0.0   431   504   374   452   299   452 0.69 -
Pcitr_chr2:42344339-42345703  -            455 27600at71240         -            507   2.3e-10   35.9   0.1   1   1     7e-09   7.3e-07   24.3   0.1    39   506     2   451     1   452 0.71 -
Pcitr_chr5:6526081-6527445    -            455 27600at71240         -            507     6e-10   34.5   0.0   1   3     6e-05    0.0063   11.4   0.0    40   172     3   148     1   164 0.69 -
Pcitr_chr5:6526081-6527445    -            455 27600at71240         -            507     6e-10   34.5   0.0   2   3     0.019         2    3.1   0.0   242   329   200   281   178   292 0.62 -
Pcitr_chr5:6526081-6527445    -            455 27600at71240         -            507     6e-10   34.5   0.0   3   3     3e-06   0.00031   15.7   0.0   432   506   374   450   311   451 0.83 -
Pcitr_chr11:6321548-6320151   -            466 27600at71240         -            507   1.5e-08   29.9   0.1   1   2   0.00014     0.015   10.1   0.1    38   172    20   167    10   310 0.70 -
Pcitr_chr11:6321548-6320151   -            466 27600at71240         -            507   1.5e-08   29.9   0.1   2   2   2.3e-05    0.0024   12.7   0.0   432   504   393   466   349   466 0.81 -
Pcitr_chr8:20266427-20267743  -            439 27600at71240         -            507   3.4e-08   28.7   0.0   1   2   9.6e-05      0.01   10.7   0.0   193   329   145   271    13   282 0.66 -
Pcitr_chr8:20266427-20267743  -            439 27600at71240         -            507   3.4e-08   28.7   0.0   2   2   7.7e-05     0.008   11.0   0.0   433   504   365   439   348   439 0.80 -
Pcitr_chr10:18130106-18130972 -            289 27600at71240         -            507   3.6e-07   25.3   0.1   1   1   2.8e-07   2.9e-05   19.1   0.1    34   326     3   285     1   289 0.69 -
Pcitr_chr11:7383976-7382394   -            172 27600at71240         -            507    0.0047   11.8   0.0   1   1   5.6e-05    0.0059   11.5   0.0   263   343    94   170    83   172 0.87 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/27600at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/rerun_results/Pcitr_Genome-final.fasta.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/hmmer_output/rerun_results/27600at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/27600at71240.hmm /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/rerun_results/Pcitr_Genome-final.fasta.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul  9 11:09:24 2024
# [ok]
