#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr3:20266409-20275098 -           1560 8311at71240          -            972         0 1546.3  26.2   1   4  3.4e-109  3.4e-106  355.2   0.0     1   201     1   223     1   266 0.80 -
Pcitr_chr3:20266409-20275098 -           1560 8311at71240          -            972         0 1546.3  26.2   2   4  2.3e-213  2.2e-210  700.0   0.7   195   567   254   649   243   662 0.89 -
Pcitr_chr3:20266409-20275098 -           1560 8311at71240          -            972         0 1546.3  26.2   3   4   9.6e-71   9.4e-68  228.0   0.2   554   739   680   881   656   892 0.84 -
Pcitr_chr3:20266409-20275098 -           1560 8311at71240          -            972         0 1546.3  26.2   4   4   2.5e-82   2.4e-79  266.3  12.0   728   970  1300  1559  1275  1560 0.69 -
Pcitr_chr1:29004241-29020789 -            623 8311at71240          -            972  2.5e-191  637.0  12.8   1   3   1.8e-60   1.7e-57  194.0   1.9     5   173     3   170     1   176 0.92 -
Pcitr_chr1:29004241-29020789 -            623 8311at71240          -            972  2.5e-191  637.0  12.8   2   3  1.4e-125  1.3e-122  409.5   0.1   226   473   179   425   170   450 0.95 -
Pcitr_chr1:29004241-29020789 -            623 8311at71240          -            972  2.5e-191  637.0  12.8   3   3   4.8e-14   4.7e-11   40.3   0.5   529   597   541   623   522   623 0.77 -
Pcitr_chr1:29015252-29023802 -            378 8311at71240          -            972  4.8e-160  533.5  28.6   1   3   5.6e-61   5.4e-58  195.7   1.1     5   173     3   170     1   180 0.91 -
Pcitr_chr1:29015252-29023802 -            378 8311at71240          -            972  4.8e-160  533.5  28.6   2   3   4.3e-46   4.2e-43  146.4   0.9   226   313   179   266   171   268 0.96 -
Pcitr_chr1:29015252-29023802 -            378 8311at71240          -            972  4.8e-160  533.5  28.6   3   3   1.7e-63   1.6e-60  204.0  12.0   857   968   267   378   266   378 0.99 -
Pcitr_chr8:19402123-19439776 -           2394 8311at71240          -            972   2.9e-54  183.3   2.7   1   2   6.6e-07   0.00065   16.7   0.1    16    55  1295  1335  1290  1398 0.69 -
Pcitr_chr8:19402123-19439776 -           2394 8311at71240          -            972   2.9e-54  183.3   2.7   2   2   3.5e-52   3.5e-49  166.5   0.5   224   399  1500  1672  1491  1692 0.87 -
Pcitr_chr8:19435701-19436800 -            215 8311at71240          -            972   1.1e-51  174.8   0.4   1   1   1.4e-54   1.4e-51  174.5   0.4   224   400    21   194    13   212 0.86 -
Pcitr_chr5:17419702-17420714 -            213 8311at71240          -            972   2.4e-50  170.3   0.5   1   1   2.8e-53   2.7e-50  170.2   0.5   233   415    30   212    14   213 0.87 -
Pcitr_chr2:43937304-43875957 -            213 8311at71240          -            972   9.8e-50  168.3   0.4   1   1   1.1e-52   1.1e-49  168.2   0.4   234   399    31   196    17   213 0.87 -
Pcitr_chr3:15909791-15908785 -            232 8311at71240          -            972   1.2e-39  134.9   1.4   1   1     8e-41   7.8e-38  128.9   1.4   261   421     1   148     1   154 0.92 -
Pcitr_chr11:2689322-2673385  -           1698 8311at71240          -            972     7e-39  132.4  19.8   1   4   6.4e-12   6.2e-09   33.3   1.7    15    51    32    68    22    74 0.91 -
Pcitr_chr11:2689322-2673385  -           1698 8311at71240          -            972     7e-39  132.4  19.8   2   4     2e-19   1.9e-16   58.1   1.4   225   293   379   447   338   452 0.88 -
Pcitr_chr11:2689322-2673385  -           1698 8311at71240          -            972     7e-39  132.4  19.8   3   4   7.3e-18   7.2e-15   52.9   0.1   331   419   463   555   457   559 0.88 -
Pcitr_chr11:2689322-2673385  -           1698 8311at71240          -            972     7e-39  132.4  19.8   4   4       1.4   1.4e+03   -4.3   0.3   457   520  1065  1128  1059  1136 0.79 -
Pcitr_chr1:47918975-47921389 -            226 8311at71240          -            972   9.7e-28   95.5   0.5   1   2   4.5e-22   4.4e-19   66.9   0.0   226   316    23   114    14   123 0.89 -
Pcitr_chr1:47918975-47921389 -            226 8311at71240          -            972   9.7e-28   95.5   0.5   2   2   4.2e-10   4.1e-07   27.3   0.1   360   398   132   170   123   196 0.83 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/8311at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/initial_results/Pcitr_Genome-final.fasta.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/hmmer_output/initial_run_results/8311at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/8311at71240.hmm /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/initial_results/Pcitr_Genome-final.fasta.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul  9 10:57:37 2024
# [ok]
