#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000269l:663886-660379 -            615 9729at71240          -            711  6.9e-153  507.5  30.3   1   3   7.8e-37   2.3e-34  115.7  27.2   122   284     1   146     1   153 0.96 -
h2tg000269l:663886-660379 -            615 9729at71240          -            711  6.9e-153  507.5  30.3   2   3   2.6e-73   7.9e-71  236.2   0.0   283   536   184   457   171   463 0.90 -
h2tg000269l:663886-660379 -            615 9729at71240          -            711  6.9e-153  507.5  30.3   3   3     2e-48     6e-46  154.0   0.1   540   658   494   615   490   615 0.95 -
h2tg000117l:293347-296663 -            655 9729at71240          -            711  2.3e-147  489.2  35.0   1   3   1.1e-35   3.4e-33  111.8  28.2   122   286     1   148     1   178 0.94 -
h2tg000117l:293347-296663 -            655 9729at71240          -            711  2.3e-147  489.2  35.0   2   3     1e-69   3.1e-67  224.4   0.0   274   538   177   460   159   472 0.87 -
h2tg000117l:293347-296663 -            655 9729at71240          -            711  2.3e-147  489.2  35.0   3   3   1.1e-48   3.3e-46  154.8   0.1   541   658   536   655   531   655 0.96 -
h2tg000717l:177670-182616 -            540 9729at71240          -            711  5.2e-134  445.1  45.1   1   3   1.7e-15   5.2e-13   45.1  17.6   119   185     4    65     1    68 0.91 -
h2tg000717l:177670-182616 -            540 9729at71240          -            711  5.2e-134  445.1  45.1   2   3   8.9e-11   2.7e-08   29.5  10.7   243   281    65   103    63   141 0.81 -
h2tg000717l:177670-182616 -            540 9729at71240          -            711  5.2e-134  445.1  45.1   3   3  2.4e-117  7.1e-115  381.8   1.0   283   658   142   540   130   540 0.90 -
h2tg000229l:301569-306393 -            594 9729at71240          -            711  5.8e-134  444.9  41.7   1   4   1.4e-20   4.2e-18   61.9  16.5   118   186     3    71     1    71 0.96 -
h2tg000229l:301569-306393 -            594 9729at71240          -            711  5.8e-134  444.9  41.7   2   4   2.1e-11   6.4e-09   31.6   9.9   245   279    70   104    65   108 0.92 -
h2tg000229l:301569-306393 -            594 9729at71240          -            711  5.8e-134  444.9  41.7   3   4   1.1e-62   3.3e-60  201.1   0.1   284   556   146   445   134   462 0.84 -
h2tg000229l:301569-306393 -            594 9729at71240          -            711  5.8e-134  444.9  41.7   4   4   2.1e-50   6.3e-48  160.5   0.0   541   658   479   594   466   594 0.96 -
h2tg000257l:98170-93497   -            586 9729at71240          -            711  1.7e-132  440.1  36.8   1   2   1.1e-21   3.4e-19   65.5  30.3   122   284     1   138     1   157 0.89 -
h2tg000257l:98170-93497   -            586 9729at71240          -            711  1.7e-132  440.1  36.8   2   2  1.7e-114  5.2e-112  372.3   0.4   289   658   189   586   178   586 0.89 -
h2tg001046l:14323-7382    -            590 9729at71240          -            711  3.5e-130  432.4  53.7   1   4   3.2e-11   9.6e-09   31.0  26.1   119   183     1    58     1    59 0.93 -
h2tg001046l:14323-7382    -            590 9729at71240          -            711  3.5e-130  432.4  53.7   2   4     9e-11   2.7e-08   29.5  11.1   244   279    57    92    55    97 0.93 -
h2tg001046l:14323-7382    -            590 9729at71240          -            711  3.5e-130  432.4  53.7   3   4   1.2e-67   3.6e-65  217.5   0.2   268   543   131   431   126   441 0.82 -
h2tg001046l:14323-7382    -            590 9729at71240          -            711  3.5e-130  432.4  53.7   4   4   1.2e-50   3.4e-48  161.4   0.1   541   658   468   584   463   588 0.96 -
h2tg001228l:242869-238615 -            536 9729at71240          -            711  6.4e-128  424.9   8.6   1   3   2.2e-09   6.6e-07   24.9   0.7   251   289     1    41     1    55 0.85 -
h2tg001228l:242869-238615 -            536 9729at71240          -            711  6.4e-128  424.9   8.6   2   3   2.6e-95   7.9e-93  308.9   0.5   281   589    89   442    80   458 0.85 -
h2tg001228l:242869-238615 -            536 9729at71240          -            711  6.4e-128  424.9   8.6   3   3   7.3e-30   2.2e-27   92.6   0.0   589   658   467   536   450   536 0.95 -
h2tg000619l:259008-262185 -            533 9729at71240          -            711    2e-115  383.6  16.1   1   3   9.2e-09   2.7e-06   22.9   9.3   251   279     1    29     1    33 0.95 -
h2tg000619l:259008-262185 -            533 9729at71240          -            711    2e-115  383.6  16.1   2   3   1.3e-62   3.9e-60  200.9   0.0   284   535    71   350    63   361 0.88 -
h2tg000619l:259008-262185 -            533 9729at71240          -            711    2e-115  383.6  16.1   3   3   1.3e-50   3.9e-48  161.2   0.1   540   658   412   533   408   533 0.96 -
h2tg000364l:59553-55362   -            606 9729at71240          -            711  6.2e-107  355.6  32.2   1   3   9.8e-18   2.9e-15   52.5  20.4   159   277     1    99     1   110 0.88 -
h2tg000364l:59553-55362   -            606 9729at71240          -            711  6.2e-107  355.6  32.2   2   3   1.1e-51   3.2e-49  164.8   1.4   279   533   149   432   117   435 0.86 -
h2tg000364l:59553-55362   -            606 9729at71240          -            711  6.2e-107  355.6  32.2   3   3   3.9e-43   1.2e-40  136.5   0.0   540   658   479   606   475   606 0.92 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/9729at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap2-busco/run_eudicots_odb10/metaeuk_output/rerun_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap2-busco/run_eudicots_odb10/hmmer_output/rerun_results/9729at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/9729at71240.hmm /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap2-busco/run_eudicots_odb10/metaeuk_output/rerun_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul 16 10:46:31 2024
# [ok]
