#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   1  10     9e-30   4.1e-26   88.9   0.8    10   134   215   395   210   408 0.82 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   2  10   2.6e-23   1.2e-19   67.4   0.0   131   219   426   552   422   573 0.80 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   3  10   5.7e-42   2.6e-38  129.4   0.5   218   368   597   789   586   851 0.79 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   4  10   1.8e-06    0.0081   11.5   0.1   374   406   856   889   842   903 0.85 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   5  10    0.0035        16    0.6   0.3   400   431   943   975   929   980 0.76 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   6  10   7.6e-68   3.5e-64  215.2  11.3   420   732  1010  1471  1002  1476 0.76 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   7  10         0         0 4416.7  14.9   721  2846  1489  3808  1479  3816 0.94 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   8  10         0         0 2138.9   6.9  2845  3883  3851  4946  3838  4952 0.95 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7   9  10   7.8e-10   3.6e-06   22.7   0.0  3883  3910  4978  5005  4973  5012 0.90 -
h2tg000271l:108445-87048 -           5105 10at71240            -           3978         0 7174.0  81.7  10  10   1.1e-34   5.1e-31  105.1   0.2  3910  3978  5033  5101  5027  5101 0.98 -
h2tg000350l:89761-93383  -            419 10at71240            -           3978   0.00045   15.7   4.0   1   1   1.2e-07   0.00056   15.4   4.0   779   846    38   105     3   142 0.71 -
h2tg000019l:38965-33051  -            905 10at71240            -           3978     0.031    9.6   1.2   1   1   1.1e-05      0.05    8.9   1.2  1714  1748   303   336   292   348 0.89 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/10at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/hmmer_output/initial_run_results/10at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/10at71240.hmm /scratch/srb67793/Pelargonium/P_citronellum_omnic-hap1-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum_OmniC.hic.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul 16 10:01:01 2024
# [ok]
