#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_4:455865-450702     -            491 31691at71240         -            494         0 1067.9   0.0   1   1         0         0 1067.7   0.0     7   491     2   491     1   491 0.99 -
scaffold_10:2539965-2537857  -            504 31691at71240         -            494   3.3e-10   38.0   0.0   1   2   7.6e-11   5.7e-08   30.7   0.0    37   110    72   145    62   160 0.87 -
scaffold_10:2539965-2537857  -            504 31691at71240         -            494   3.3e-10   38.0   0.0   2   2    0.0048       3.6    4.9   0.0   442   493   450   500   414   501 0.80 -
scaffold_11:4816627-4819669  -            747 31691at71240         -            494   1.1e-08   33.0   0.0   1   2   5.2e-09   3.9e-06   24.6   0.0    33    91   152   211   121   232 0.78 -
scaffold_11:4816627-4819669  -            747 31691at71240         -            494   1.1e-08   33.0   0.0   2   2     0.002       1.5    6.2   0.0   460   491   565   596   556   599 0.87 -
scaffold_5:2469757-2467722   -            677 31691at71240         -            494   5.2e-07   27.5   0.1   1   2   1.4e-07   0.00011   19.9   0.1    41    86   198   243   177   263 0.85 -
scaffold_5:2469757-2467722   -            677 31691at71240         -            494   5.2e-07   27.5   0.1   2   2    0.0034       2.5    5.5   0.0   460   490   606   636   592   640 0.86 -
scaffold_6:3882102-3882305   -             68 31691at71240         -            494   1.5e-06   26.0   0.0   1   1     2e-09   1.5e-06   26.0   0.0   299   346     6    55     2    66 0.83 -
scaffold_5:10976015-10973469 -            703 31691at71240         -            494   5.8e-06   24.1   0.1   1   2   5.3e-07    0.0004   18.0   0.1    38    88   103   155    76   185 0.85 -
scaffold_5:10976015-10973469 -            703 31691at71240         -            494   5.8e-06   24.1   0.1   2   2     0.011         8    3.8   0.0   460   483   517   540   508   549 0.86 -
scaffold_8:17963688-17963404 -             95 31691at71240         -            494   0.00046   17.8   0.0   1   1   6.7e-07    0.0005   17.7   0.0    43    79     3    37     1    55 0.89 -
scaffold_10:3902323-3897911  -            576 31691at71240         -            494    0.0026   15.3   0.0   1   2     4e-05      0.03   11.8   0.0    42   100    55   112    34   119 0.84 -
scaffold_10:3902323-3897911  -            576 31691at71240         -            494    0.0026   15.3   0.0   2   2      0.08        59    0.9   0.0   261   333   303   378   297   397 0.67 -
scaffold_3:14298166-14297021 -            382 31691at71240         -            494    0.0077   13.7   0.0   1   1   1.6e-05     0.012   13.1   0.0    43    77     3    37     1    45 0.91 -
scaffold_5:14302146-14310936 -           1976 31691at71240         -            494     0.011   13.3   0.0   1   1   2.3e-05     0.017   12.6   0.0    43    82   929   968   906   992 0.88 -
scaffold_3:11314694-11313534 -            387 31691at71240         -            494     0.015   12.8   0.0   1   1   3.4e-05     0.025   12.0   0.0    42    77     7    42     3    50 0.90 -
scaffold_2:24785229-24788463 -            479 31691at71240         -            494     0.017   12.6   0.0   1   1   3.6e-05     0.027   12.0   0.0    43   104     2    66     1   113 0.79 -
scaffold_4:5541192-5545770   -            570 31691at71240         -            494     0.043   11.3   0.1   1   1   0.00012     0.087   10.3   0.1    41   101    52   111    25   134 0.85 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/31691at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap2_scaffolds_final.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/hmmer_output/initial_run_results/31691at71240.out --cpu 1 /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/31691at71240.hmm /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap2_scaffolds_final.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium/scripts
# Date:            Fri Jul 19 11:03:52 2024
# [ok]
