#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr1:50907605-50901088 -            431 47424at71240         -            482  2.3e-156  517.8  16.5   1   5   1.5e-37   2.7e-35  118.5   0.5    36   132    41   137    31   139 0.96 -
Pcitr_chr1:50907605-50901088 -            431 47424at71240         -            482  2.3e-156  517.8  16.5   2   5   5.5e-48     1e-45  152.9   1.5   221   309   138   228   136   229 0.97 -
Pcitr_chr1:50907605-50901088 -            431 47424at71240         -            482  2.3e-156  517.8  16.5   3   5   3.8e-57   6.9e-55  183.1   0.1   335   429   229   323   228   330 0.98 -
Pcitr_chr1:50907605-50901088 -            431 47424at71240         -            482  2.3e-156  517.8  16.5   4   5   4.7e-18   8.6e-16   54.2   0.0   427   465   348   386   336   389 0.92 -
Pcitr_chr1:50907605-50901088 -            431 47424at71240         -            482  2.3e-156  517.8  16.5   5   5   3.4e-07   6.1e-05   18.4   0.0   462   482   409   429   396   429 0.92 -
Pcitr_chr5:21705005-21709748 -            352 47424at71240         -            482  3.7e-145  480.8  12.0   1   3   2.4e-42   4.4e-40  134.3   0.6    36   132    40   136    31   137 0.97 -
Pcitr_chr5:21705005-21709748 -            352 47424at71240         -            482  3.7e-145  480.8  12.0   2   3   1.9e-30   3.4e-28   95.1   0.5   245   309   136   200   135   202 0.97 -
Pcitr_chr5:21705005-21709748 -            352 47424at71240         -            482  3.7e-145  480.8  12.0   3   3   1.2e-80   2.2e-78  260.6   0.5   333   482   201   350   200   350 0.99 -
Pcitr_chr5:39566872-39567909 -            346 47424at71240         -            482   5.6e-34  114.2  11.6   1   2   1.7e-09   3.1e-07   26.0   0.1   101   176    55   135     5   136 0.71 -
Pcitr_chr5:39566872-39567909 -            346 47424at71240         -            482   5.6e-34  114.2  11.6   2   2   2.5e-31   4.5e-29   98.0   7.3    91   355    72   346    60   346 0.88 -
Pcitr_chr6:1149505-1148519   -            329 47424at71240         -            482   1.1e-29  100.0   4.5   1   1     2e-31   3.7e-29   98.2   4.1    90   355    55   329    47   329 0.93 -
Pcitr_chr6:1053517-1054503   -            329 47424at71240         -            482   9.3e-29   96.9   3.7   1   1   1.1e-30   2.1e-28   95.8   3.3    90   355    55   329    51   329 0.93 -
Pcitr_chr4:8553506-8554156   -            217 47424at71240         -            482   2.8e-14   49.2   0.1   1   2   1.1e-09     2e-07   26.6   0.0   323   392     2    71     1    77 0.93 -
Pcitr_chr4:8553506-8554156   -            217 47424at71240         -            482   2.8e-14   49.2   0.1   2   2   6.5e-08   1.2e-05   20.7   0.0   112   209   118   215    83   217 0.74 -
Pcitr_chr8:26513999-26512920 -            360 47424at71240         -            482    0.0014   13.9   1.6   1   3    0.0012      0.21    6.7   0.1   109   177    49   120    28   144 0.80 -
Pcitr_chr8:26513999-26512920 -            360 47424at71240         -            482    0.0014   13.9   1.6   2   3      0.28        51   -1.1   0.0   249   271   177   199   153   223 0.77 -
Pcitr_chr8:26513999-26512920 -            360 47424at71240         -            482    0.0014   13.9   1.6   3   3    0.0037      0.66    5.1   0.1   111   187   267   341   245   354 0.59 -
Pcitr_chr5:27586653-27585691 -            321 47424at71240         -            482     0.013   10.7   8.2   1   4     0.035       6.4    1.8   0.1   244   260    65    81    39    85 0.78 -
Pcitr_chr5:27586653-27585691 -            321 47424at71240         -            482     0.013   10.7   8.2   2   4    0.0048      0.87    4.7   0.3   115   184    91   158    81   186 0.74 -
Pcitr_chr5:27586653-27585691 -            321 47424at71240         -            482     0.013   10.7   8.2   3   4      0.15        27   -0.2   0.0   241   262   182   203   153   215 0.66 -
Pcitr_chr5:27586653-27585691 -            321 47424at71240         -            482     0.013   10.7   8.2   4   4    0.0012      0.21    6.7   0.3   238   285   252   297   204   310 0.87 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/47424at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/rerun_results/Pcitr_Genome-final.fasta.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/hmmer_output/rerun_results/47424at71240.out --cpu 1 /scratch/srb67793/Pelargonium/busco_downloads/lineages/eudicots_odb10/hmms/47424at71240.hmm /scratch/srb67793/Pelargonium/Pelargonium-PreviousAssembly-busco/run_eudicots_odb10/metaeuk_output/rerun_results/Pcitr_Genome-final.fasta.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium
# Date:            Tue Jul  9 11:09:24 2024
# [ok]
