#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_2:18918504-18917644 -            287 103368at71240        -            289   1.1e-25   87.3   0.1   1   1   4.1e-26   3.1e-24   82.6   0.1    62   222    13   195     4   241 0.72 -
scaffold_5:20110164-20110964 -            267 103368at71240        -            289   4.5e-21   72.3   0.5   1   1   3.1e-22   2.4e-20   69.9   0.5    60   246     2   228     1   265 0.69 -
scaffold_21:2031694-2032479  -            262 103368at71240        -            289   1.2e-20   70.9   0.2   1   1   1.2e-21     9e-20   68.0   0.2    60   247     3   230     2   257 0.71 -
scaffold_17:1993131-1993916  -            262 103368at71240        -            289   9.5e-20   67.9   0.2   1   1     1e-20   7.7e-19   64.9   0.2    60   247     3   230     2   257 0.71 -
scaffold_2:19187559-19187999 -            147 103368at71240        -            289   1.4e-18   64.0   0.1   1   1   2.4e-20   1.8e-18   63.7   0.1    60   189     2   144     1   147 0.69 -
scaffold_6:997019-1051409    -            189 103368at71240        -            289     2e-18   63.5   0.1   1   1   3.3e-20   2.5e-18   63.2   0.1    66   190    15   151    10   189 0.80 -
scaffold_1:17820575-17821330 -            198 103368at71240        -            289   1.1e-17   61.1   1.2   1   2   1.2e-13   9.2e-12   41.7   0.0    66   128     1    66     1    76 0.92 -
scaffold_1:17820575-17821330 -            198 103368at71240        -            289   1.1e-17   61.1   1.2   2   2   1.5e-05    0.0011   15.2   0.3   173   265    78   198    67   198 0.57 -
scaffold_2:9602266-9603021   -            252 103368at71240        -            289   1.5e-17   60.6   0.8   1   1   9.6e-17   7.3e-15   51.9   0.8    66   255     1   243     1   252 0.64 -
scaffold_5:23380548-23379754 -            265 103368at71240        -            289   3.1e-17   59.7   0.4   1   1   2.5e-16   1.9e-14   50.5   0.4    66   267     1   254     1   264 0.66 -
scaffold_16:1784294-1785067  -            258 103368at71240        -            289   3.4e-17   59.5   1.3   1   2   7.4e-14   5.6e-12   42.4   0.0    63   131     2    73     1    85 0.93 -
scaffold_16:1784294-1785067  -            258 103368at71240        -            289   3.4e-17   59.5   1.3   2   2    0.0001    0.0078   12.4   0.8   162   267   128   258    98   258 0.59 -
scaffold_35:1112108-1111677  -            144 103368at71240        -            289     4e-17   59.3   0.1   1   1     7e-19   5.3e-17   58.9   0.1    59   185     5   144     2   144 0.75 -
scaffold_5:28637688-28625603 -            166 103368at71240        -            289   1.7e-16   57.2   0.0   1   2     5e-17   3.8e-15   52.8   0.0    62   132    15    88     8   100 0.91 -
scaffold_5:28637688-28625603 -            166 103368at71240        -            289   1.7e-16   57.2   0.0   2   2     0.088       6.7    2.8   0.0   173   186   150   163   114   166 0.79 -
scaffold_5:28543154-28542363 -            264 103368at71240        -            289   1.8e-16   57.1   0.4   1   2   1.6e-14   1.2e-12   44.6   0.0    66   132     1    70     1    82 0.92 -
scaffold_5:28543154-28542363 -            264 103368at71240        -            289   1.8e-16   57.1   0.4   2   2    0.0008     0.061    9.5   0.3   174   254   133   242    98   260 0.60 -
scaffold_7:18946208-18946981 -            258 103368at71240        -            289   3.3e-16   56.3   1.3   1   2   1.1e-13   8.1e-12   41.9   0.0    63   131     2    73     1    86 0.92 -
scaffold_7:18946208-18946981 -            258 103368at71240        -            289   3.3e-16   56.3   1.3   2   2     0.001     0.076    9.1   0.9   222   267   212   258    98   258 0.63 -
scaffold_5:28644460-28643735 -            242 103368at71240        -            289   3.6e-16   56.1   1.0   1   2   8.5e-15   6.4e-13   45.5   0.0    66   131     1    69     1    82 0.92 -
scaffold_5:28644460-28643735 -            242 103368at71240        -            289   3.6e-16   56.1   1.0   2   2    0.0025      0.19    7.9   0.7   174   245   133   231    99   242 0.60 -
