#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr6:37757496-37758590  -            365 82882at71240         -            419   5.1e-35  117.7   5.6   1   4   0.00012    0.0021   13.6   0.0   247   296    20    65    13    70 0.91 -
Pcitr_chr6:37757496-37758590  -            365 82882at71240         -            419   5.1e-35  117.7   5.6   2   4   5.7e-10     1e-08   31.1   0.0   156   272    70   185    64   185 0.91 -
Pcitr_chr6:37757496-37758590  -            365 82882at71240         -            419   5.1e-35  117.7   5.6   3   4   1.5e-14   2.7e-13   46.1   0.3   158   280   180   301   173   309 0.92 -
Pcitr_chr6:37757496-37758590  -            365 82882at71240         -            419   5.1e-35  117.7   5.6   4   4   5.2e-10   9.1e-09   31.2   0.2   360   414   311   364   300   365 0.89 -
Pcitr_chr10:23472158-23471229 -            310 82882at71240         -            419   4.5e-34  114.6   0.4   1   3      0.04       0.7    5.3   0.0   175   217    25    67    12    81 0.62 -
Pcitr_chr10:23472158-23471229 -            310 82882at71240         -            419   4.5e-34  114.6   0.4   2   3   7.3e-18   1.3e-16   57.1   0.0   156   283    78   200    72   204 0.92 -
Pcitr_chr10:23472158-23471229 -            310 82882at71240         -            419   4.5e-34  114.6   0.4   3   3   1.2e-15   2.1e-14   49.8   0.0   321   416   204   298   198   301 0.91 -
Pcitr_chr11:20133293-20132481 -            271 82882at71240         -            419   4.6e-30  101.4   1.1   1   1   3.2e-31   5.7e-30  101.1   1.1   158   413    14   271     8   271 0.87 -
Pcitr_chr7:6049040-6026206    -            439 82882at71240         -            419   1.4e-29   99.8   1.3   1   3    0.0022     0.038    9.4   0.0   307   356    17    67     9    80 0.76 -
Pcitr_chr7:6049040-6026206    -            439 82882at71240         -            419   1.4e-29   99.8   1.3   2   3   2.3e-05   0.00041   15.9   0.1   156   237    81   162    69   169 0.67 -
Pcitr_chr7:6049040-6026206    -            439 82882at71240         -            419   1.4e-29   99.8   1.3   3   3   2.1e-22   3.8e-21   72.0   0.0   149   390   171   411   165   439 0.85 -
Pcitr_chr5:39874001-39874846  -            282 82882at71240         -            419     4e-29   98.3   0.8   1   3   1.3e-06   2.3e-05   20.0   0.0   176   279     6   108     2   113 0.82 -
Pcitr_chr5:39874001-39874846  -            282 82882at71240         -            419     4e-29   98.3   0.8   2   3   2.4e-09   4.1e-08   29.1   0.1   143   219   116   193   112   195 0.89 -
Pcitr_chr5:39874001-39874846  -            282 82882at71240         -            419     4e-29   98.3   0.8   3   3   1.3e-14   2.3e-13   46.4   0.0   327   415   194   281   193   282 0.95 -
Pcitr_chr6:3141820-3263045    -            342 82882at71240         -            419   9.6e-26   87.2   5.1   1   2     1e-06   1.8e-05   20.4   0.0   211   281    48   118    41   122 0.89 -
Pcitr_chr6:3141820-3263045    -            342 82882at71240         -            419   9.6e-26   87.2   5.1   2   2   4.7e-22   8.2e-21   70.9   3.3   196   416   105   330   101   333 0.86 -
Pcitr_chr7:6064535-6063750    -            262 82882at71240         -            419     1e-25   87.0   0.3   1   1   6.7e-27   1.2e-25   86.9   0.3   159   414     2   261     1   262 0.90 -
Pcitr_chr6:12318440-12319351  -            304 82882at71240         -            419   2.8e-25   85.6   4.8   1   2   2.8e-13   4.9e-12   42.0   0.1   210   354    17   163     8   166 0.86 -
Pcitr_chr6:12318440-12319351  -            304 82882at71240         -            419   2.8e-25   85.6   4.8   2   2   1.9e-16   3.4e-15   52.4   1.3   200   400    79   280    79   303 0.84 -
Pcitr_chr3:7434714-7434031    -            228 82882at71240         -            419   5.8e-25   84.6   0.5   1   1   4.1e-26   7.1e-25   84.3   0.5   196   415    11   225     6   228 0.91 -
Pcitr_chr7:6058879-6057971    -            303 82882at71240         -            419   1.2e-24   83.6   0.9   1   1   7.9e-26   1.4e-24   83.3   0.9   133   414     2   292     1   296 0.85 -
Pcitr_chr6:10988586-10987762  -            275 82882at71240         -            419   1.3e-24   83.5   0.4   1   1     1e-25   1.8e-24   83.0   0.4   157   413     4   266     1   270 0.88 -
Pcitr_chr1:24598605-24599516  -            304 82882at71240         -            419   1.3e-24   83.4   0.0   1   1   8.8e-26   1.5e-24   83.2   0.0   136   415    15   303     6   304 0.85 -
Pcitr_chr6:3549025-3548147    -            293 82882at71240         -            419   4.2e-24   81.7   3.4   1   2   1.7e-07   3.1e-06   22.9   0.1   210   283     5    78     1    79 0.89 -
Pcitr_chr6:3549025-3548147    -            293 82882at71240         -            419   4.2e-24   81.7   3.4   2   2   8.8e-20   1.5e-18   63.4   1.2   200   416    67   288    67   291 0.88 -
Pcitr_chr6:10500435-10548444  -            416 82882at71240         -            419   7.8e-24   80.9   1.9   1   3   0.00074     0.013   11.0   0.0   252   295     3    46     1    50 0.74 -
Pcitr_chr6:10500435-10548444  -            416 82882at71240         -            419   7.8e-24   80.9   1.9   2   3   2.7e-06   4.7e-05   19.0   0.2   156   295    52   180    46   180 0.85 -
Pcitr_chr6:10500435-10548444  -            416 82882at71240         -            419   7.8e-24   80.9   1.9   3   3   6.1e-17   1.1e-15   54.1   0.3   157   397   151   395   125   416 0.84 -
Pcitr_chr5:26876021-26900767  -            427 82882at71240         -            419   1.8e-23   79.7   0.5   1   3   2.1e-06   3.7e-05   19.4   0.1   221   290     8    77     2    81 0.92 -
Pcitr_chr5:26876021-26900767  -            427 82882at71240         -            419   1.8e-23   79.7   0.5   2   3   0.00021    0.0037   12.8   0.1   157   245    53   141    50   147 0.87 -
