# BUSCO version is: 5.5.0 
# The lineage dataset is: eudicots_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at71240	Complete	scaffold_4:9215383-9179645	9215383	9179645	-	5197.4	4188	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
10at71240	Complete	scaffold_5:8782878-8804275	8782878	8804275	+	7174.0	3995	https://v10-1.orthodb.org/?query=10at71240	Zinc finger, ZZ-type
17at71240	Complete	scaffold_1:30618858-30639846	30618858	30639846	+	6696.5	3928	https://v10-1.orthodb.org/?query=17at71240	Zinc finger, RING/FYVE/PHD-type
86at71240	Complete	scaffold_4:21479054-21462551	21479054	21462551	-	5494.4	3217	https://v10-1.orthodb.org/?query=86at71240	Phosphatidylinositol 3-/4-kinase, catalytic domain
204at71240	Complete	scaffold_6:19681876-19708445	19681876	19708445	+	3959.1	2248	https://v10-1.orthodb.org/?query=204at71240	Translational activator Gcn1
224at71240	Complete	scaffold_6:16091783-16111904	16091783	16111904	+	2820.3	2008	https://v10-1.orthodb.org/?query=224at71240	WD40 repeat
265at71240	Complete	scaffold_4:148041-159905	148041	159905	+	2688.4	1620	https://v10-1.orthodb.org/?query=265at71240	DNA2/NAM7 helicase, AAA domain
312at71240	Complete	scaffold_3:16811199-16761970	16811199	16761970	-	3482.7	1983	https://v10-1.orthodb.org/?query=312at71240	Zinc finger FYVE domain protein
355at71240	Duplicated	scaffold_1:38209729-38225804	38209729	38225804	+	4300.4	2144	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
355at71240	Duplicated	scaffold_1:4356494-4371002	4356494	4371002	+	4306.0	2152	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
368at71240	Complete	scaffold_1:24969785-25017154	24969785	25017154	+	2577.9	1658	https://v10-1.orthodb.org/?query=368at71240	Armadillo-type fold
383at71240	Complete	scaffold_13:11638692-11647329	11638692	11647329	+	2647.3	1679	https://v10-1.orthodb.org/?query=383at71240	Armadillo-type fold
491at71240	Complete	scaffold_9:14273904-14295799	14273904	14295799	+	2088.1	1582	https://v10-1.orthodb.org/?query=491at71240	BP28, C-terminal domain
526at71240	Complete	scaffold_4:7011525-7034355	7011525	7034355	+	2845.6	1578	https://v10-1.orthodb.org/?query=526at71240	ABC transporter A
561at71240	Complete	scaffold_11:10318221-10344176	10318221	10344176	+	2790.6	1618	https://v10-1.orthodb.org/?query=561at71240	SNF2-related, N-terminal domain
597at71240	Complete	scaffold_6:9211170-9199818	9211170	9199818	-	2961.4	1548	https://v10-1.orthodb.org/?query=597at71240	Dicer dimerisation domain
640at71240	Complete	scaffold_2:24480817-24460852	24480817	24460852	-	2719.1	1601	https://v10-1.orthodb.org/?query=640at71240	Nucleoporin Nup186/Nup192/Nup205
703at71240	Complete	scaffold_11:13640971-13626175	13640971	13626175	-	2695.9	1533	https://v10-1.orthodb.org/?query=703at71240	SNF2-related, N-terminal domain
707at71240	Complete	scaffold_35:1312052-1293509	1312052	1293509	-	3125.3	1519	https://v10-1.orthodb.org/?query=707at71240	DHR-1 domain
727at71240	Complete	scaffold_3:37574156-37544748	37574156	37544748	-	2380.8	1597	https://v10-1.orthodb.org/?query=727at71240	Bacterial Ig-like, group 2
745at71240	Complete	scaffold_9:5935015-5955247	5935015	5955247	+	2852.6	1656	https://v10-1.orthodb.org/?query=745at71240	S1 domain
769at71240	Complete	scaffold_3:17115067-17139545	17115067	17139545	+	2719.6	1506	https://v10-1.orthodb.org/?query=769at71240	DNA polymerase A
779at71240	Complete	scaffold_8:5759283-5747212	5759283	5747212	-	2202.2	1382	https://v10-1.orthodb.org/?query=779at71240	Tetratricopeptide repeat-containing domain
793at71240	Complete	scaffold_4:5335272-5319094	5335272	5319094	-	2580.1	1792	https://v10-1.orthodb.org/?query=793at71240	Protein virilizer
836at71240	Complete	scaffold_5:21879496-21867375	21879496	21867375	-	1907.5	1721	https://v10-1.orthodb.org/?query=836at71240	NT-type C2 domain
851at71240	Complete	scaffold_1:20115851-20128624	20115851	20128624	+	2253.5	1325	https://v10-1.orthodb.org/?query=851at71240	Sister chromatid cohesion protein
906at71240	Complete	scaffold_5:12019953-12011918	12019953	12011918	-	1589.3	1314	https://v10-1.orthodb.org/?query=906at71240	Putative zinc-finger domain
916at71240	Complete	scaffold_6:20463559-20449311	20463559	20449311	-	2619.2	1567	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
933at71240	Complete	scaffold_4:8419359-8432656	8419359	8432656	+	2132.8	1315	https://v10-1.orthodb.org/?query=933at71240	UDP-glucose:Glycoprotein Glucosyltransferase
