#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_636:32165-23640     -            311 111670at71240        -            267   4.6e-85  281.9   4.6   1   2   2.1e-11   5.8e-09   32.4   0.5    11    51     1    40     1    55 0.90 -
scaffold_636:32165-23640     -            311 111670at71240        -            267   4.6e-85  281.9   4.6   2   2     3e-78   8.5e-76  251.5   0.3    51   267    81   296    71   296 0.96 -
scaffold_1:43562369-43559633 -            293 111670at71240        -            267   3.7e-79  262.6   3.9   1   2   2.2e-11   6.1e-09   32.3   0.2    11    64     1    53     1    58 0.90 -
scaffold_1:43562369-43559633 -            293 111670at71240        -            267   3.7e-79  262.6   3.9   2   2   3.6e-72     1e-69  231.6   0.5    53   267    83   289    76   289 0.96 -
scaffold_8:8546167-8543103   -            502 111670at71240        -            267   3.5e-24   82.3   5.9   1   4   5.3e-15   1.5e-12   44.2   0.2    83   154    23    94     9    97 0.96 -
scaffold_8:8546167-8543103   -            502 111670at71240        -            267   3.5e-24   82.3   5.9   2   4   4.2e-05     0.012   11.7   0.0    85   155   241   312   218   321 0.81 -
scaffold_8:8546167-8543103   -            502 111670at71240        -            267   3.5e-24   82.3   5.9   3   4      0.12        33    0.4   0.0    50    94   341   385   313   395 0.78 -
scaffold_8:8546167-8543103   -            502 111670at71240        -            267   3.5e-24   82.3   5.9   4   4   1.8e-09     5e-07   26.1   0.1    86   154   403   475   387   491 0.85 -
scaffold_118:21046-16587     -            594 111670at71240        -            267     1e-20   70.9   5.4   1   4   1.1e-16     3e-14   49.7   0.0    81   158    52   130    25   136 0.88 -
scaffold_118:21046-16587     -            594 111670at71240        -            267     1e-20   70.9   5.4   2   4    0.0011       0.3    7.1   0.1    85   157   255   328   235   335 0.83 -
scaffold_118:21046-16587     -            594 111670at71240        -            267     1e-20   70.9   5.4   3   4      0.81   2.3e+02   -2.3   0.2    46    79   415   447   412   455 0.76 -
scaffold_118:21046-16587     -            594 111670at71240        -            267     1e-20   70.9   5.4   4   4   5.9e-06    0.0017   14.5   0.0    85   154   494   567   470   582 0.83 -
scaffold_7:28552919-28548460 -            594 111670at71240        -            267     1e-20   70.9   5.4   1   4   1.1e-16     3e-14   49.7   0.0    81   158    52   130    25   136 0.88 -
scaffold_7:28552919-28548460 -            594 111670at71240        -            267     1e-20   70.9   5.4   2   4    0.0011       0.3    7.1   0.1    85   157   255   328   235   335 0.83 -
scaffold_7:28552919-28548460 -            594 111670at71240        -            267     1e-20   70.9   5.4   3   4      0.81   2.3e+02   -2.3   0.2    46    79   415   447   412   455 0.76 -
scaffold_7:28552919-28548460 -            594 111670at71240        -            267     1e-20   70.9   5.4   4   4   5.9e-06    0.0017   14.5   0.0    85   154   494   567   470   582 0.83 -
scaffold_5:2181210-2185085   -            603 111670at71240        -            267   3.4e-20   69.2   0.0   1   3   1.1e-14   3.2e-12   43.1   0.0    41   154    41   152    28   158 0.86 -
scaffold_5:2181210-2185085   -            603 111670at71240        -            267   3.4e-20   69.2   0.0   2   3     0.035       9.8    2.1   0.0   103   153   308   359   290   369 0.81 -
scaffold_5:2181210-2185085   -            603 111670at71240        -            267   3.4e-20   69.2   0.0   3   3   1.2e-07   3.4e-05   20.0   0.0    85   155   503   577   485   592 0.81 -
scaffold_2:2137369-2142759   -            534 111670at71240        -            267   5.7e-20   68.5   0.8   1   3   1.5e-11   4.2e-09   32.9   0.0    81   158    36   113    11   120 0.84 -
scaffold_2:2137369-2142759   -            534 111670at71240        -            267   5.7e-20   68.5   0.8   2   3   7.9e-05     0.022   10.8   0.0    87   155   253   322   229   331 0.84 -
scaffold_2:2137369-2142759   -            534 111670at71240        -            267   5.7e-20   68.5   0.8   3   3   3.6e-08     1e-05   21.8   0.0    80   157   429   510   372   523 0.76 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/111670at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/rerun_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/hmmer_output/rerun_results/111670at71240.out --cpu 1 /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/111670at71240.hmm /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/rerun_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium/scripts
# Date:            Fri Jul 19 10:49:38 2024
# [ok]
