#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6:23609101-23622840 -           1084 7026at71240          -            822         0 1373.6  26.6   1   3   2.7e-59   1.4e-56  191.4   1.2     1   117     6   125     6   148 0.92 -
scaffold_6:23609101-23622840 -           1084 7026at71240          -            822         0 1373.6  26.6   2   3      0.36   1.9e+02   -0.9   0.6   482   567   233   322   210   326 0.70 -
scaffold_6:23609101-23622840 -           1084 7026at71240          -            822         0 1373.6  26.6   3   3         0         0 1190.9  11.1   111   822   348  1083   343  1083 0.93 -
scaffold_4:3107589-3111764   -            468 7026at71240          -            822     7e-13   46.9   0.3   1   3   2.7e-07   0.00014   19.4   0.1   226   308    38   120    31   133 0.92 -
scaffold_4:3107589-3111764   -            468 7026at71240          -            822     7e-13   46.9   0.3   2   3     2e-05      0.01   13.2   0.0   146   201   174   229   166   256 0.85 -
scaffold_4:3107589-3111764   -            468 7026at71240          -            822     7e-13   46.9   0.3   3   3   0.00013     0.065   10.6   0.0   132   197   279   343   267   377 0.73 -
scaffold_2:35871194-35867561 -            474 7026at71240          -            822   6.9e-11   40.3   2.1   1   3   7.1e-09   3.7e-06   24.6   0.3   230   385    49   222    39   227 0.83 -
scaffold_2:35871194-35867561 -            474 7026at71240          -            822   6.9e-11   40.3   2.1   2   3   0.00035      0.18    9.1   0.0   146   212   181   247   174   264 0.84 -
scaffold_2:35871194-35867561 -            474 7026at71240          -            822   6.9e-11   40.3   2.1   3   3    0.0001     0.052   10.9   0.0   127   198   281   351   264   376 0.77 -
scaffold_10:1642733-1643038  -            102 7026at71240          -            822   1.5e-06   25.9   0.2   1   1     3e-09   1.5e-06   25.9   0.2   199   292     5    99     1   102 0.74 -
scaffold_5:26896426-26890530 -            329 7026at71240          -            822   6.2e-06   23.9   0.6   1   1   2.3e-08   1.2e-05   22.9   0.3   141   239    29   129    19   153 0.86 -
scaffold_1:5191333-5197469   -            641 7026at71240          -            822   2.9e-05   21.7   3.1   1   2      0.05        26    2.0   0.2   241   354   160   278   146   287 0.79 -
scaffold_1:5191333-5197469   -            641 7026at71240          -            822   2.9e-05   21.7   3.1   2   2   1.7e-07   9.1e-05   20.0   0.3   146   325   303   489   291   504 0.88 -
scaffold_5:10812163-10800654 -            709 7026at71240          -            822   3.6e-05   21.3   0.7   1   3      0.68   3.6e+02   -1.8   0.1   166   214   212   261   208   289 0.86 -
scaffold_5:10812163-10800654 -            709 7026at71240          -            822   3.6e-05   21.3   0.7   2   3    0.0032       1.6    5.9   0.0   177   251   474   549   464   559 0.84 -
scaffold_5:10812163-10800654 -            709 7026at71240          -            822   3.6e-05   21.3   0.7   3   3   2.7e-05     0.014   12.8   0.0   145   223   575   654   567   666 0.83 -
scaffold_1:24158318-24165062 -            647 7026at71240          -            822   3.8e-05   21.3   4.1   1   3      0.73   3.8e+02   -1.9   0.0   259   289   139   169   100   187 0.71 -
scaffold_1:24158318-24165062 -            647 7026at71240          -            822   3.8e-05   21.3   4.1   2   3    0.0087       4.6    4.5   0.1   177   233   336   393   321   416 0.72 -
scaffold_1:24158318-24165062 -            647 7026at71240          -            822   3.8e-05   21.3   4.1   3   3   1.8e-06   0.00094   16.7   0.7   211   341   466   602   437   620 0.81 -
scaffold_10:1644975-1645160  -             62 7026at71240          -            822   5.4e-05   20.8   0.0   1   1   1.1e-07     6e-05   20.6   0.0    35    92     1    59     1    61 0.87 -
