#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_2:18387808-18384677  -           1044 8828at71240          -            913         0 1299.0  23.8   1   2         0         0 1283.5  21.7     1   904     2   965     2   971 0.93 -
scaffold_2:18387808-18384677  -           1044 8828at71240          -            913         0 1299.0  23.8   2   2   7.6e-05    0.0017   15.7   0.0   886   913  1017  1044   989  1044 0.77 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   1   8   4.3e-40   9.5e-39  132.3   0.1   216   365     2   152     1   157 0.96 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   2   8   6.6e-37   1.4e-35  121.8   0.2   218   364   144   288   141   294 0.90 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   3   8   4.5e-37   9.8e-36  122.4   0.4   232   374   261   405   261   405 0.97 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   4   8   7.1e-41   1.6e-39  134.9   0.2   216   355   416   556   415   558 0.96 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   5   8   1.4e-36     3e-35  120.7   0.2   239   365   545   671   545   675 0.98 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   6   8   8.4e-37   1.9e-35  121.4   0.2   232   359   608   735   607   738 0.97 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   7   8   1.2e-28   2.6e-27   94.5   0.0   247   355   728   836   727   838 0.97 -
scaffold_10:7935577-7938474   -            966 8828at71240          -            913  1.2e-267  889.8  32.0   8   8   9.3e-37     2e-35  121.3   0.2   239   375   825   966   825   966 0.95 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   1  10   1.6e-24   3.6e-23   80.8   0.1   240   354     7   117     4   117 0.96 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   2  10   1.1e-12   2.4e-11   41.6   0.1   306   361   104   159   104   166 0.93 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   3  10   1.5e-41   3.3e-40  137.1   0.1   232   359   170   297   160   298 0.96 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   4  10   3.3e-24   7.3e-23   79.8   0.6   245   357   288   400   288   400 0.98 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   5  10   2.4e-29   5.3e-28   96.8   0.3   245   354   393   502   393   508 0.97 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   6  10   1.6e-27   3.5e-26   90.7   0.3   245   357   498   610   496   610 0.98 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   7  10   1.5e-33   3.3e-32  110.7   0.2   238   355   596   713   595   715 0.98 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   8  10   3.9e-37   8.6e-36  122.6   0.5   233   358   661   786   659   791 0.97 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1   9  10   3.3e-34   7.3e-33  112.9   1.5   232   357   730   855   729   857 0.98 -
scaffold_10:723563-726523     -            987 8828at71240          -            913  9.8e-259  860.3  51.1  10  10   1.3e-29   2.9e-28   97.6   0.7   247   365   850   968   850   971 0.97 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   1   8   3.6e-32   7.9e-31  106.1   0.2   236   365     2   131     1   136 0.97 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   2   8   2.5e-42   5.6e-41  139.7   1.3   231   365   137   271   122   275 0.93 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   3   8     3e-34   6.7e-33  113.0   0.1   226   353   272   399   267   400 0.95 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   4   8   1.8e-36   3.9e-35  120.4   0.1   234   360   315   441   315   443 0.98 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   5   8   2.5e-35   5.6e-34  116.5   0.4   232   364   383   515   379   520 0.97 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   6   8   1.2e-26   2.6e-25   87.9   0.2   252   363   438   549   436   550 0.96 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   7   8   5.7e-34   1.3e-32  112.1   2.0   230   356   521   647   513   648 0.95 -
scaffold_3:39569093-39566799  -            765 8828at71240          -            913  6.9e-248  824.4  42.3   8   8   2.4e-34   5.4e-33  113.3   0.3   239   368   635   764   634   765 0.98 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   1   8   5.5e-29   1.2e-27   95.6   0.2   247   364     1   118     1   124 0.97 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   2   8     9e-34     2e-32  111.4   0.5   233   365   127   259   122   264 0.97 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   3   8   4.3e-34   9.5e-33  112.5   1.0   233   355   267   389   263   392 0.97 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   4   8   4.8e-39   1.1e-37  128.9   0.5   232   374   371   518   370   518 0.96 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   5   8   2.5e-34   5.5e-33  113.3   0.7   232   364   511   643   501   649 0.96 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   6   8   8.6e-36   1.9e-34  118.1   0.6   232   364   651   783   648   789 0.97 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   7   8   6.8e-34   1.5e-32  111.8   0.5   231   358   790   917   778   919 0.94 -
scaffold_9:12117375-12120398  -           1008 8828at71240          -            913  1.2e-238  793.8  39.8   8   8   4.6e-19     1e-17   62.8   0.1   247   343   911  1007   911  1008 0.98 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   1   9   5.8e-13   1.3e-11   42.6   0.2   305   357     4    56     1    59 0.92 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   2   9     6e-23   1.3e-21   75.6   0.1   245   357    49   161    49   164 0.96 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   3   9   6.7e-33   1.5e-31  108.5   0.4   232   357   141   266   140   268 0.98 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   4   9   3.8e-27   8.4e-26   89.5   0.2   247   364   261   378   260   379 0.97 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   5   9   1.6e-29   3.6e-28   97.3   1.2   233   357   352   476   351   478 0.98 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   6   9   5.5e-30   1.2e-28   98.9   0.2   239   365   463   589   463   595 0.98 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   7   9   1.8e-49   3.9e-48  163.4   0.8   229   404   592   773   581   774 0.93 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   8   9   4.6e-40     1e-38  132.2   0.1   232   354   771   893   769   896 0.98 -
scaffold_10:612454-609596     -            953 8828at71240          -            913    2e-227  756.7  43.1   9   9   1.6e-13   3.4e-12   44.5   0.1   234   309   878   953   878   953 0.94 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   1   8   1.3e-19   2.9e-18   64.5   0.1   241   357    21   138    18   138 0.96 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   2   8   3.3e-18   7.3e-17   59.9   0.0   233   296   119   182   118   186 0.96 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   3   8   1.2e-34   2.7e-33  114.3   0.3   232   366   188   322   184   324 0.97 -
