#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_9:5654072-5650965    -           1036 7941at71240          -            811         0 1129.4  24.5   1   2  4.4e-156  9.7e-155  515.9  14.0    17   421   122   567   112   581 0.91 -
scaffold_9:5654072-5650965    -           1036 7941at71240          -            811         0 1129.4  24.5   2   2    3e-187  6.6e-186  619.0   1.9   417   811   615  1027   598  1027 0.96 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   1  11   1.2e-13   2.6e-12   44.8   0.0   732   805     2    75     1    79 0.87 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   2  11   1.5e-18   3.4e-17   60.9   0.0   704   801    44   141    43   144 0.97 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   3  11   1.5e-27   3.2e-26   90.8   0.0   625   773    65   218    65   219 0.93 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   4  11   1.1e-34   2.4e-33  114.4   0.0   618   804   128   316   128   320 0.96 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   5  11   1.2e-19   2.6e-18   64.7   0.0   703   810   285   392   281   393 0.97 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   6  11   1.2e-20   2.6e-19   68.0   0.0   703   801   422   520   417   524 0.96 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   7  11   1.8e-24     4e-23   80.5   0.0   654   783   475   607   474   607 0.95 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   8  11   2.2e-15   4.8e-14   50.5   0.0   703   783   597   677   595   677 0.96 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0   9  11   1.1e-18   2.4e-17   61.5   0.0   704   809   668   773   667   774 0.97 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0  10  11   9.9e-20   2.2e-18   64.9   0.0   702   809   771   878   767   880 0.96 -
scaffold_10:7935577-7938474   -            966 7941at71240          -            811  9.3e-206  684.6   0.0  11  11   1.9e-16   4.2e-15   54.0   0.0   703   791   877   965   872   966 0.97 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   1  11   1.3e-18   2.8e-17   61.2   0.0   704   809    11   116     2   118 0.94 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   2  11   1.9e-13   4.3e-12   44.1   0.0   703   778   115   190   113   195 0.94 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   3  11   7.5e-13   1.7e-11   42.1   0.0   704   776   186   258   185   263 0.96 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   4  11   3.7e-12   8.1e-11   39.9   0.0   703   777   255   329   253   335 0.96 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   5  11   1.3e-25   2.9e-24   84.3   0.0   645   776   334   468   329   473 0.94 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   6  11   5.3e-14   1.2e-12   45.9   0.0   704   776   466   538   464   543 0.95 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   7  11   1.9e-13   4.2e-12   44.1   0.0   704   776   536   608   535   613 0.96 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   8  11   1.5e-16   3.3e-15   54.4   0.0   704   808   606   710   605   712 0.95 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9   9  11   2.6e-23   5.7e-22   76.7   0.0   674   802   678   809   676   815 0.94 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9  10  11   8.3e-15   1.9e-13   48.6   0.0   703   790   815   902   811   904 0.96 -
