#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_47:618861-615308     -            379 83930at71240         -            332  1.1e-172  573.1   0.1   1   1  5.6e-174  1.2e-172  572.9   0.1     1   332    35   371    35   371 0.98 -
scaffold_8:23409724-23412240  -            378 83930at71240         -            332  1.7e-172  572.5   0.3   1   1  8.5e-174  1.9e-172  572.3   0.3     1   332    35   371    35   371 0.98 -
scaffold_16:4259130-4255575   -            379 83930at71240         -            332  3.6e-172  571.4   0.1   1   1  1.8e-173  4.1e-172  571.2   0.1     1   332    35   371    35   371 0.98 -
scaffold_3:14784536-14777839  -           1321 83930at71240         -            332   7.7e-80  267.9   2.8   1   2   5.8e-80   1.3e-78  263.8   0.1     3   330   893  1220   891  1222 0.98 -
scaffold_3:14784536-14777839  -           1321 83930at71240         -            332   7.7e-80  267.9   2.8   2   2      0.71        16    3.9   0.3   136   199  1236  1299  1230  1312 0.89 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   1   7   1.2e-14   2.7e-13   49.1   0.1    15   259   127   375   116   378 0.88 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   2   7   2.3e-10   5.1e-09   35.1   0.0   118   225   304   411   301   414 0.94 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   3   7   8.8e-23     2e-21   75.9   0.8    99   303   389   594   383   606 0.94 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   4   7         1        23    3.3   0.0    93   154   624   686   612   698 0.83 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   5   7   1.6e-15   3.6e-14   52.0   0.1    99   287   701   890   692   904 0.91 -
scaffold_10:862333-867426     -           1452 83930at71240         -            332   8.8e-78  261.1  15.2   6   7   1.1e-17   2.5e-16   59.1   1.1    96   282   908  1095   891  1099 0.94 -
