#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr4:281252-283513       -            754 14514at71240         -            689         0 1161.3  32.6   1   2  1.5e-128  2.8e-127  424.9   8.1     1   245     5   263     5   274 0.94 -
Pcitr_chr4:281252-283513       -            754 14514at71240         -            689         0 1161.3  32.6   2   2  1.1e-224    2e-223  742.7  16.5   237   689   276   754   268   754 0.96 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   1   7   5.5e-53     1e-51  175.2   0.4   378   546     1   173     1   175 0.97 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   2   7   4.8e-51   9.1e-50  168.7   0.6   372   545   170   344   170   347 0.98 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   3   7   1.7e-53   3.2e-52  176.8   0.7   372   545   342   516   342   520 0.97 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   4   7   6.5e-40   1.2e-38  132.0   0.5   412   546   519   657   516   660 0.95 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   5   7   1.3e-50   2.5e-49  167.3   0.7   376   545   553   726   551   729 0.95 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   6   7   1.3e-29   2.5e-28   97.9   0.0   443   545   728   831   725   834 0.94 -
Pcitr_chr11:10900570-10903524  -            985 14514at71240         -            689  4.4e-292  969.6  37.0   7   7   1.4e-38   2.6e-37  127.6   0.6   372   524   829   985   829   985 0.88 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   1   9   7.5e-20   1.4e-18   65.6   0.0   462   544     2    84     1    89 0.96 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   2   9   4.6e-25   8.7e-24   82.9   0.3   443   544    87   189    83   194 0.94 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   3   9   3.5e-37   6.7e-36  122.9   1.4   413   545   194   330   190   334 0.92 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   4   9   1.4e-36   2.6e-35  120.9   0.7   414   544   335   469   331   474 0.93 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   5   9   3.5e-45   6.7e-44  149.4   1.6   378   544   369   539   367   543 0.95 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   6   9   5.8e-36   1.1e-34  118.9   1.0   413   544   474   609   470   612 0.94 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   7   9   3.4e-46   6.4e-45  152.7   1.8   378   545   544   715   542   718 0.95 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   8   9   1.2e-46   2.2e-45  154.3   3.9   375   545   716   890   713   894 0.94 -
Pcitr_chr4:29033352-29030329   -           1008 14514at71240         -            689    6e-285  946.0  64.1   9   9   3.5e-26   6.6e-25   86.6   2.0   377   488   893  1008   889  1008 0.85 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   1   7     3e-35   5.8e-34  116.5   2.3   381   545     3   171     1   175 0.91 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   2   7     3e-35   5.6e-34  116.6   0.3   412   544   174   310   172   313 0.95 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   3   7   3.9e-46   7.5e-45  152.5   1.3   378   544   245   415   242   418 0.95 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   4   7   6.9e-36   1.3e-34  118.7   0.8   412   545   314   451   312   455 0.90 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   5   7   1.8e-27   3.4e-26   90.8   0.6   443   544   418   520   414   525 0.94 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   6   7   7.6e-46   1.4e-44  151.6   3.4   377   545   454   626   450   629 0.95 -
Pcitr_chr2:15718091-15715995   -            699 14514at71240         -            689  7.9e-244  810.1  52.7   7   7   1.1e-43     2e-42  144.5   2.5   379   544   526   695   522   698 0.94 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   1   7   2.2e-12   4.1e-11   41.0   0.0   498   546     2    50     1    53 0.95 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   2   7   3.5e-51   6.5e-50  169.2   0.8   372   545    47   221    47   225 0.98 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   3   7   1.3e-53   2.5e-52  177.2   0.7   372   545   219   393   219   396 0.97 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   4   7   5.8e-40   1.1e-38  132.1   0.5   413   545   397   533   394   536 0.95 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   5   7   1.5e-50   2.8e-49  167.2   0.8   378   545   432   603   430   607 0.95 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   6   7     6e-30   1.1e-28   99.0   0.1   440   546   602   709   601   712 0.93 -
Pcitr_chr11:10900939-10903356  -            806 14514at71240         -            689  2.4e-237  788.7  32.8   7   7   3.2e-22     6e-21   73.5   0.2   442   537   709   805   706   806 0.87 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   1   7   5.6e-19   1.1e-17   62.7   0.2   446   546     2   103     1   104 0.94 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   2   7   4.9e-40   9.3e-39  132.3   0.7   378   545    71   242    70   252 0.95 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   3   7   5.7e-39   1.1e-37  128.8   2.4   378   545   211   391   209   394 0.91 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   4   7   3.2e-21     6e-20   70.2   0.1   443   544   393   495   391   497 0.95 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   5   7   1.6e-23     3e-22   77.8   0.1   442   545   497   601   494   605 0.93 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   6   7   5.6e-45   1.1e-43  148.7   2.8   378   544   710   880   707   885 0.95 -
Pcitr_chr11:918880-915788      -           1031 14514at71240         -            689  1.9e-223  742.8  44.1   7   7   1.3e-42   2.4e-41  140.9   1.4   379   545   851  1021   850  1027 0.95 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   1   6   4.5e-30   8.5e-29   99.4   2.1   420   545     2   131     1   134 0.88 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   2   6   1.5e-45   2.9e-44  150.6   3.7   378   546   135   307   131   310 0.95 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   3   6   5.8e-48   1.1e-46  158.6   2.8   376   552   308   488   305   490 0.95 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   4   6   2.1e-35   3.9e-34  117.1   2.1   412   546   484   622   481   625 0.86 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   5   6   2.2e-33   4.2e-32  110.3   0.9   413   545   625   761   623   765 0.71 -
Pcitr_chr3:1350170-1352917     -            916 14514at71240         -            689  1.1e-219  730.3  47.2   6   6   3.5e-45   6.7e-44  149.4   1.8   346   524   730   915   728   916 0.58 -
