#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_13:4195040-4215170 -            560 33509at71240         -            466  1.3e-276  916.8   3.4   1   2  3.2e-277  6.2e-274  907.9   1.2     1   454    22   465    22   469 0.99 -
scaffold_13:4195040-4215170 -            560 33509at71240         -            466  1.3e-276  916.8   3.4   2   2   0.00043      0.84    7.5   0.0   448   466   507   525   497   525 0.85 -
scaffold_2:5024743-5031680  -            574 33509at71240         -            466    2e-124  415.0   0.4   1   1  1.7e-127  3.3e-124  414.3   0.4    28   436    69   477    34   484 0.89 -
scaffold_3:3923168-3923722  -            185 33509at71240         -            466   1.6e-28   98.9   0.0   1   1   8.8e-32   1.7e-28   98.8   0.0     8   183     3   183     1   185 0.87 -
scaffold_1:582985-583533    -            183 33509at71240         -            466   2.5e-27   94.9   0.1   1   1   1.4e-30   2.8e-27   94.8   0.1     8   183     1   181     1   183 0.88 -
scaffold_24:2002016-2000757 -            420 33509at71240         -            466     0.063   11.2   0.0   1   3   0.00025      0.48    8.3   0.0   294   339   130   175   121   229 0.87 -
scaffold_24:2002016-2000757 -            420 33509at71240         -            466     0.063   11.2   0.0   2   3     0.075   1.5e+02    0.1   0.0    24    77   239   294   220   301 0.83 -
scaffold_24:2002016-2000757 -            420 33509at71240         -            466     0.063   11.2   0.0   3   3       1.3   2.5e+03   -4.0   0.0   297   320   343   366   340   372 0.79 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/33509at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap2_scaffolds_final.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/hmmer_output/initial_run_results/33509at71240.out --cpu 1 /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/33509at71240.hmm /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum_hap2-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap2_scaffolds_final.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium/scripts
# Date:            Fri Jul 19 11:03:43 2024
# [ok]
