#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_9:3882364-3884179  -            121 172525at71240        -            102   2.4e-48  161.9   0.1   1   1   2.1e-51   2.9e-48  161.6   0.1     1   102     6   117     6   117 0.95 -
scaffold_20:446655-453477   -            501 172525at71240        -            102     0.053   13.1   0.1   1   1   8.4e-05      0.12   11.9   0.1    51   100   202   253   166   255 0.72 -
scaffold_3:1253384-1225521  -            455 172525at71240        -            102     0.075   12.6   0.1   1   1   0.00014       0.2   11.2   0.1    34   100   136   207   117   209 0.77 -
scaffold_141:74738-76240    -            501 172525at71240        -            102     0.082   12.4   0.1   1   1   0.00014       0.2   11.2   0.1    34   100   182   253   163   255 0.78 -
scaffold_50:280438-278936   -            501 172525at71240        -            102     0.083   12.4   0.1   1   1   0.00014       0.2   11.2   0.1    34   100   182   253   163   255 0.78 -
scaffold_20:1706337-1704835 -            399 172525at71240        -            102     0.084   12.4   0.3   1   2   0.00016      0.22   11.0   0.1    35   100   183   253   163   255 0.75 -
scaffold_20:1706337-1704835 -            399 172525at71240        -            102     0.084   12.4   0.3   2   2       3.8   5.4e+03   -3.0   0.0    12    26   266   280   264   300 0.73 -
scaffold_14:4649594-4648092 -            399 172525at71240        -            102     0.087   12.4   0.3   1   2   0.00016      0.22   11.0   0.1    35   100   183   253   163   255 0.75 -
scaffold_14:4649594-4648092 -            399 172525at71240        -            102     0.087   12.4   0.3   2   2       4.6   6.5e+03   -3.3   0.0    12    25   266   279   264   296 0.77 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/172525at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/hmmer_output/initial_run_results/172525at71240.out --cpu 1 /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/172525at71240.hmm /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium/scripts
# Date:            Fri Jul 19 10:32:21 2024
# [ok]
