#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pcitr_chr3:17991964-18000991   -            618 24266at71240         -            774         0 1056.9   0.4   1   2   1.9e-94   3.7e-93  311.7   0.5   104   256     1   153     1   155 0.99 -
Pcitr_chr3:17991964-18000991   -            618 24266at71240         -            774         0 1056.9   0.4   2   2  1.6e-225    3e-224  745.2   0.0   313   774   153   618   152   618 0.99 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   1   9   9.8e-21   1.9e-19   68.0   0.0   192   329     5   140     1   141 0.94 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   2   9   7.2e-13   1.4e-11   42.0   0.0   171   262    89   180    83   182 0.46 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   3   9   5.4e-29     1e-27   95.3   0.2   154   329   142   312   142   313 0.94 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   4   9     6e-19   1.2e-17   62.1   0.0   178   287   233   342   230   343 0.97 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   5   9   4.8e-21   9.3e-20   69.0   0.1   172   304   297   424   296   425 0.96 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   6   9   4.7e-17     9e-16   55.8   0.0   179   288   406   515   404   516 0.97 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   7   9   1.7e-25   3.3e-24   83.7   0.0   172   321   469   616   468   619 0.96 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   8   9   6.1e-25   1.2e-23   81.9   0.1   171   325   643   795   641   796 0.96 -
Pcitr_chr11:10900570-10903524  -            985 24266at71240         -            774  1.6e-165  551.1  19.9   9   9   4.4e-21   8.4e-20   69.1   0.1   154   287   766   899   765   900 0.95 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   1   9   1.9e-17   3.7e-16   57.1   0.3   195   320     6   129     1   135 0.94 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   2   9   4.5e-13   8.6e-12   42.7   0.1   187   288   103   204    93   207 0.92 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   3   9   1.6e-21   3.1e-20   70.6   0.4   153   288   139   274   137   277 0.96 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   4   9   1.2e-13   2.3e-12   44.5   0.0   181   269   237   325   235   328 0.93 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   5   9   7.7e-20   1.5e-18   65.0   0.0   172   289   263   380   262   389 0.94 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   6   9     1e-19     2e-18   64.6   0.0   179   291   305   417   304   421 0.96 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   7   9   2.6e-24     5e-23   79.8   0.6   174   326   370   520   369   523 0.96 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   8   9   8.7e-19   1.7e-17   61.6   0.1   191   306   492   605   485   605 0.85 -
Pcitr_chr9:33423010-33420893   -            706 24266at71240         -            774  9.1e-146  485.7  35.3   9   9   5.1e-26   9.9e-25   85.5   0.8   154   325   525   694   525   700 0.94 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   1   8   2.3e-06   4.5e-05   20.5   0.1   405   479    28   102    24   104 0.95 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   2   8   1.3e-23   2.4e-22   77.5   0.0   172   330    76   232    75   236 0.96 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   3   8   5.4e-19     1e-17   62.2   0.0   172   287   216   331   215   332 0.96 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   4   8   4.1e-22   7.9e-21   72.5   0.0   172   312   286   424   285   425 0.96 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   5   8   3.3e-18   6.4e-17   59.6   0.0   172   288   391   507   390   509 0.97 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   6   8   3.1e-18     6e-17   59.7   0.0   173   288   427   542   426   543 0.97 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   7   8   3.8e-22   7.2e-21   72.7   0.0   172   317   461   601   460   604 0.97 -
Pcitr_chr6:17140567-17142555   -            663 24266at71240         -            774  4.2e-137  457.1   2.9   8   8   1.7e-24   3.2e-23   80.4   0.0   173   330   497   649   496   658 0.95 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   1   6   4.2e-14   8.1e-13   46.1   0.0   174   288     5   119     1   125 0.70 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   2   6   1.5e-20   2.9e-19   67.4   0.1   173   324    74   223    72   229 0.94 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   3   6   1.3e-17   2.6e-16   57.6   0.7   171   305   212   344   208   344 0.93 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   4   6   6.9e-46   1.3e-44  151.2   2.5   186   479   332   624   328   626 0.97 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   5   6   2.9e-09   5.6e-08   30.1   0.1   405   475   620   690   620   691 0.97 -
Pcitr_chr4:29033352-29030329   -           1008 24266at71240         -            774  1.4e-135  452.0  31.0   6   6   8.4e-48   1.6e-46  157.5   4.9   187   510   683  1005   679  1008 0.97 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   1   7   7.4e-16   1.4e-14   51.9   0.1   172   279     2   109     1   110 0.76 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   2   7   1.5e-27   2.9e-26   90.5   0.1   172   329    37   189    36   190 0.95 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   3   7   2.2e-23   4.1e-22   76.8   0.1   172   319   174   316   173   317 0.97 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   4   7   3.5e-17   6.6e-16   56.3   0.0   179   288   283   392   282   395 0.97 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   5   7   1.3e-25   2.5e-24   84.1   0.0   172   321   346   493   345   496 0.96 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   6   7     3e-24   5.7e-23   79.6   0.1   171   319   520   666   518   667 0.97 -
Pcitr_chr11:10900939-10903356  -            806 24266at71240         -            774  3.1e-133  444.3  15.5   7   7   1.6e-18     3e-17   60.7   0.1   170   281   694   805   690   806 0.95 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   1   7   2.7e-07   5.1e-06   23.6   0.0   409   495    11    97     4    97 0.84 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   2   7   5.5e-21     1e-19   68.8   0.3   172   326    90   242    83   250 0.94 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   3   7   3.3e-18   6.4e-17   59.6   0.0   197   330   263   395   248   397 0.93 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   4   7   1.3e-42   2.5e-41  140.4   1.8   173   479   380   685   378   686 0.97 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   5   7     8e-11   1.5e-09   35.2   0.2   196   300   683   785   682   786 0.82 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   6   7   2.8e-25   5.4e-24   83.0   0.6   154   325   746   915   744   921 0.96 -
Pcitr_chr11:918880-915788      -           1031 24266at71240         -            774  4.8e-124  413.9  27.0   7   7   3.5e-14   6.7e-13   46.3   0.2   384   503   905  1024   905  1028 0.84 -
Pcitr_chr11:1051273-1053918    -            882 24266at71240         -            774  2.2e-121  405.1  22.9   1   6   1.4e-45   2.7e-44  150.1   3.8   191   514    19   341     3   345 0.89 -
Pcitr_chr11:1051273-1053918    -            882 24266at71240         -            774  2.2e-121  405.1  22.9   2   6   1.3e-15   2.5e-14   51.1   0.1   172   288   350   466   349   468 0.96 -
Pcitr_chr11:1051273-1053918    -            882 24266at71240         -            774  2.2e-121  405.1  22.9   3   6   1.2e-07   2.2e-06   24.8   0.0   172   243   420   491   419   496 0.95 -
Pcitr_chr11:1051273-1053918    -            882 24266at71240         -            774  2.2e-121  405.1  22.9   4   6   1.2e-23   2.2e-22   77.7   0.2   153   287   471   605   470   608 0.96 -
Pcitr_chr11:1051273-1053918    -            882 24266at71240         -            774  2.2e-121  405.1  22.9   5   6   2.8e-21   5.3e-20   69.8   0.2   171   323   594   744   590   751 0.95 -
