# BUSCO version is: 5.5.0 
# The lineage dataset is: eudicots_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at71240	Duplicated	Pcitr_chr3:12063548-12027793	12063548	12027793	-	5178.9	4057	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
2at71240	Duplicated	Pcitr_chr3:1812350-1775944	1812350	1775944	-	5302.5	4028	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
10at71240	Complete	Pcitr_chr6:10236438-10257836	10236438	10257836	+	7168.4	3995	https://v10-1.orthodb.org/?query=10at71240	Zinc finger, ZZ-type
17at71240	Complete	Pcitr_chr5:26576566-26597979	26576566	26597979	+	6696.2	3926	https://v10-1.orthodb.org/?query=17at71240	Zinc finger, RING/FYVE/PHD-type
86at71240	Complete	Pcitr_chr3:25610770-25594259	25610770	25594259	-	5491.3	3217	https://v10-1.orthodb.org/?query=86at71240	Phosphatidylinositol 3-/4-kinase, catalytic domain
204at71240	Complete	Pcitr_chr8:19040009-19067490	19040009	19067490	+	3959.2	2248	https://v10-1.orthodb.org/?query=204at71240	Translational activator Gcn1
224at71240	Complete	Pcitr_chr8:14693919-14714041	14693919	14714041	+	2822.1	2008	https://v10-1.orthodb.org/?query=224at71240	WD40 repeat
265at71240	Complete	Pcitr_chr3:131250-143114	131250	143114	+	2688.4	1620	https://v10-1.orthodb.org/?query=265at71240	DNA2/NAM7 helicase, AAA domain
312at71240	Complete	Pcitr_chr2:27538824-27614482	27538824	27614482	+	2980.9	1652	https://v10-1.orthodb.org/?query=312at71240	Zinc finger FYVE domain protein
355at71240	Duplicated	Pcitr_chr5:1836877-1822412	1836877	1822412	-	4306.0	2152	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
355at71240	Duplicated	Pcitr_chr5:35669430-35685525	35669430	35685525	+	4300.4	2144	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
368at71240	Complete	Pcitr_chr5:18985472-19046131	18985472	19046131	+	2610.9	1657	https://v10-1.orthodb.org/?query=368at71240	Armadillo-type fold
383at71240	Complete	Pcitr_chr4:1574223-1565591	1574223	1565591	-	2647.4	1679	https://v10-1.orthodb.org/?query=383at71240	Armadillo-type fold
491at71240	Complete	Pcitr_chr4:26624607-26602567	26624607	26602567	-	2088.6	1603	https://v10-1.orthodb.org/?query=491at71240	BP28, C-terminal domain
526at71240	Complete	Pcitr_chr3:9584581-9606876	9584581	9606876	+	2815.7	1578	https://v10-1.orthodb.org/?query=526at71240	ABC transporter A
561at71240	Fragmented	Pcitr_chr7:15125879-15137285	15125879	15137285	+	1588.3	878	https://v10-1.orthodb.org/?query=561at71240	SNF2-related, N-terminal domain
597at71240	Complete	Pcitr_chr8:6590802-6579450	6590802	6579450	-	2961.4	1548	https://v10-1.orthodb.org/?query=597at71240	Dicer dimerisation domain
640at71240	Complete	Pcitr_chr1:26592621-26612586	26592621	26612586	+	2719.1	1601	https://v10-1.orthodb.org/?query=640at71240	Nucleoporin Nup186/Nup192/Nup205
703at71240	Complete	Pcitr_chr7:17965840-17936175	17965840	17936175	-	2693.2	1512	https://v10-1.orthodb.org/?query=703at71240	SNF2-related, N-terminal domain
707at71240	Complete	Pcitr_Contig24:1793709-1812296	1793709	1812296	+	3125.3	1519	https://v10-1.orthodb.org/?query=707at71240	DHR-1 domain
727at71240	Complete	Pcitr_chr2:2647722-2677110	2647722	2677110	+	2380.8	1597	https://v10-1.orthodb.org/?query=727at71240	Bacterial Ig-like, group 2
745at71240	Complete	Pcitr_chr4:35500522-35481900	35500522	35481900	-	2648.7	1529	https://v10-1.orthodb.org/?query=745at71240	S1 domain
769at71240	Complete	Pcitr_chr2:26690789-26673366	26690789	26673366	-	2866.4	1587	https://v10-1.orthodb.org/?query=769at71240	DNA polymerase A
779at71240	Complete	Pcitr_chr10:5377270-5311039	5377270	5311039	-	2200.6	1381	https://v10-1.orthodb.org/?query=779at71240	Tetratricopeptide repeat-containing domain
