#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   1   8     0.087        41    1.4   0.1     1    20     1    21     1    32 0.81 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   2   8         0         0 1229.1   6.4    15   580    70   658    60   668 0.97 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   3   8     0.082        38    1.5   3.1   562   600   687   724   672   734 0.73 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   4   8     4e-25   1.9e-22   78.7  10.3   594   672   748   827   729   857 0.77 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   5   8   0.00078      0.37    8.2   5.1   637   677   847   882   823   890 0.68 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   6   8      0.24   1.1e+02   -0.0   0.6   681   710   995  1024   982  1046 0.80 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   7   8   3.3e-38   1.6e-35  121.9  33.6   672   872  1033  1258   997  1262 0.72 -
h2tg000653l:176634-184935   -           1354 3930at71240          -            890         0 1417.4  99.0   8   8      0.74   3.5e+02   -1.7  13.8   808   877  1221  1297  1215  1312 0.62 -
h2tg000265l:603007-605392   -            434 3930at71240          -            890   6.1e-82  275.5   0.5   1   1   1.7e-84   8.1e-82  275.1   0.5    29   398    39   412    16   419 0.85 -
h2tg000300l:41985-44107     -            432 3930at71240          -            890   1.3e-81  274.3   0.1   1   1   3.7e-84   1.7e-81  274.0   0.1    29   398    37   409     8   416 0.83 -
h2tg000388l:554869-552272   -            406 3930at71240          -            890     1e-79  268.2   0.0   1   1   2.8e-82   1.3e-79  267.8   0.0    29   371     8   357     5   383 0.87 -
h2tg000452l:34668-32077     -            458 3930at71240          -            890   1.2e-76  258.0   0.0   1   1   3.4e-79   1.6e-76  257.6   0.0    69   379   104   416    66   442 0.85 -
h2tg000937l:246100-233289   -           1088 3930at71240          -            890   2.5e-74  250.3   5.8   1   2   5.2e-77   2.5e-74  250.3   5.8    59   410    25   363     2   435 0.81 -
h2tg000937l:246100-233289   -           1088 3930at71240          -            890   2.5e-74  250.3   5.8   2   2       1.4   6.8e+02   -2.6   0.3   674   776   644   747   602   767 0.55 -
h2tg001372l:14263-25403     -            751 3930at71240          -            890   7.6e-62  209.0   1.1   1   2   1.6e-64   7.6e-62  209.0   1.1    30   403    25   363     3   413 0.87 -
h2tg001372l:14263-25403     -            751 3930at71240          -            890   7.6e-62  209.0   1.1   2   2       7.2   3.4e+03   -4.9   9.7   542   638   542   637   517   670 0.60 -
h2tg000209l:476120-450953   -           1089 3930at71240          -            890   2.4e-60  204.1   1.6   1   3     5e-63   2.4e-60  204.1   1.6    30   406    64   404    59   452 0.89 -
h2tg000209l:476120-450953   -           1089 3930at71240          -            890   2.4e-60  204.1   1.6   2   3    0.0041       1.9    5.8   4.1   497   631   623   757   615   805 0.82 -
h2tg000209l:476120-450953   -           1089 3930at71240          -            890   2.4e-60  204.1   1.6   3   3       3.8   1.8e+03   -4.0   5.7   504   623   870   993   832  1008 0.52 -
h2tg001370l:60095-48650     -            836 3930at71240          -            890   5.4e-59  199.6   8.4   1   1   1.2e-61   5.4e-59  199.6   8.4    31   405     7   345     4   570 0.84 -
h2tg000866l:24875-27380     -            279 3930at71240          -            890   6.6e-55  186.0   5.1   1   1   1.4e-55   6.8e-53  179.4   5.1   108   396     4   259     1   269 0.89 -
h2tg000149l:307965-310806   -            260 3930at71240          -            890     2e-52  177.8   3.7   1   1   4.5e-53   2.1e-50  171.1   3.7   108   386     4   246     1   259 0.88 -
h2tg000216l:54802-60191     -           1130 3930at71240          -            890   5.2e-50  169.8   0.6   1   1   1.1e-52   5.2e-50  169.8   0.6    32   367   480   793   474   799 0.88 -
