#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_9:4963036-4969114 -           1072 10839at71240         -            808         0 1301.5  20.3   1   3   2.3e-34   7.7e-31  105.9   3.2     1    74    26   102    26   116 0.90 -
scaffold_9:4963036-4969114 -           1072 10839at71240         -            808         0 1301.5  20.3   2   3  7.7e-210  2.6e-206  686.3   5.0    67   491   119   636   101   649 0.87 -
scaffold_9:4963036-4969114 -           1072 10839at71240         -            808         0 1301.5  20.3   3   3  2.1e-155  6.8e-152  506.3   0.1   483   808   668  1071   659  1071 0.88 -
scaffold_2:7162569-7169177 -           1031 10839at71240         -            808         0 1239.1  22.4   1   3   2.2e-90   7.3e-87  291.2   1.2     1   181     5   225     5   229 0.86 -
scaffold_2:7162569-7169177 -           1031 10839at71240         -            808         0 1239.1  22.4   2   3  3.6e-153  1.2e-149  498.8   8.2   175   490   239   612   233   622 0.88 -
scaffold_2:7162569-7169177 -           1031 10839at71240         -            808         0 1239.1  22.4   3   3  4.2e-137  1.4e-133  445.7   0.3   484   808   645  1030   638  1030 0.85 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   1   6     0.032   1.1e+02   -0.4   0.0   608   646   146   185   140   204 0.84 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   2   6     0.047   1.6e+02   -1.0   0.0   609   646   195   233   187   252 0.83 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   3   6     0.057   1.9e+02   -1.3   0.0   608   643   242   278   236   285 0.85 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   4   6    0.0033        11    2.8   0.0   608   643   290   326   283   336 0.87 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   5   6    0.0027         9    3.1   0.0   608   645   338   376   329   399 0.83 -
scaffold_14:80495-78225    -            757 10839at71240         -            808     0.028   11.4   2.0   6   6     0.072   2.4e+02   -1.6   0.0   614   649   440   476   430   491 0.77 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/10839at71240.hmm
# Target file:     /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas
# Option settings: hmmsearch --domtblout /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/hmmer_output/initial_run_results/10839at71240.out --cpu 1 /scratch/srb67793/Pelargonium/scripts/busco_downloads/lineages/eudicots_odb10/hmms/10839at71240.hmm /scratch/srb67793/Pelargonium/scripts/scratch/srb67793/Pelargonium/Results2/HiFiASM_OmniC/P_citronellum-hap1-scaffolds-busco/run_eudicots_odb10/metaeuk_output/initial_results/P_citronellum-hap1_scaffolds_final.fa.modified.fas 
# Current dir:     /scratch/srb67793/Pelargonium/scripts
# Date:            Fri Jul 19 10:32:08 2024
# [ok]
