#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000069l:888234-807610   -            784 25588at71240         -            606  3.7e-188  624.1  28.2   1   5     4e-14   2.6e-13   46.6   1.4   342   462    13   131     4   142 0.88 -
h2tg000069l:888234-807610   -            784 25588at71240         -            606  3.7e-188  624.1  28.2   2   5   1.7e-26   1.1e-25   87.4   1.1   299   453    71   223    69   231 0.92 -
h2tg000069l:888234-807610   -            784 25588at71240         -            606  3.7e-188  624.1  28.2   3   5   3.4e-33   2.2e-32  109.6   1.6   122   273   228   380   221   380 0.88 -
h2tg000069l:888234-807610   -            784 25588at71240         -            606  3.7e-188  624.1  28.2   4   5   2.1e-36   1.4e-35  120.2   0.9   296   445   272   418   271   419 0.93 -
h2tg000069l:888234-807610   -            784 25588at71240         -            606  3.7e-188  624.1  28.2   5   5   5.8e-94   3.7e-93  310.3   0.0   299   606   376   682   376   682 0.96 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   1   6   3.1e-13     2e-12   43.7   0.0    13    69     4    62     1    66 0.90 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   2   6   4.3e-14   2.8e-13   46.5   0.0   182   266    63   147    60   151 0.92 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   3   6   4.6e-32   2.9e-31  105.9   0.9   299   460   151   311   146   321 0.91 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   4   6   1.2e-17   7.5e-17   58.3   0.7   342   449   296   401   294   403 0.84 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   5   6   4.8e-27     3e-26   89.3   1.3   140   282   322   467   319   468 0.91 -
h2tg001069l:46874-44283     -            864 25588at71240         -            606  1.8e-181  601.9  25.0   6   6     3e-95   1.9e-94  314.5   0.3   290   605   445   760   444   761 0.96 -
h2tg000298l:101402-99104    -            755 25588at71240         -            606  6.8e-172  570.3   2.4   1   3   5.3e-26   3.4e-25   85.9   0.1   225   391     5   169     2   174 0.87 -
h2tg000298l:101402-99104    -            755 25588at71240         -            606  6.8e-172  570.3   2.4   2   3   2.1e-18   1.3e-17   60.8   0.0    39   131   175   273   171   274 0.91 -
h2tg000298l:101402-99104    -            755 25588at71240         -            606  6.8e-172  570.3   2.4   3   3  5.1e-133  3.3e-132  439.3   0.1   180   605   237   667   237   668 0.95 -
h2tg000142l:1723890-1726301 -            804 25588at71240         -            606  2.2e-169  562.1   9.8   1   5   6.1e-05   0.00039   16.3   0.0   187   269     4    86     1    87 0.82 -
h2tg000142l:1723890-1726301 -            804 25588at71240         -            606  2.2e-169  562.1   9.8   2   5   7.9e-21     5e-20   68.8   0.0   141   270    55   190    50   191 0.91 -
h2tg000142l:1723890-1726301 -            804 25588at71240         -            606  2.2e-169  562.1   9.8   3   5   1.7e-25   1.1e-24   84.2   0.1   142   273   158   297   156   297 0.92 -
h2tg000142l:1723890-1726301 -            804 25588at71240         -            606  2.2e-169  562.1   9.8   4   5   2.7e-31   1.7e-30  103.3   0.4   288   431   281   422   278   427 0.91 -
h2tg000142l:1723890-1726301 -            804 25588at71240         -            606  2.2e-169  562.1   9.8   5   5   1.4e-98   8.7e-98  325.6   0.3   295   604   391   700   385   702 0.96 -
h2tg000857l:113937-116039   -            701 25588at71240         -            606  4.4e-167  554.5   2.6   1   2   4.4e-65   2.8e-64  214.9   0.1   128   459     3   348     2   354 0.87 -
h2tg000857l:113937-116039   -            701 25588at71240         -            606  4.4e-167  554.5   2.6   2   2  1.9e-105  1.2e-104  348.2   0.4   289   605   280   598   279   599 0.94 -
h2tg000223l:1129030-1131294 -            755 25588at71240         -            606  1.2e-165  549.8  16.4   1   5    0.0024     0.015   11.0   0.0   339   402    13    73     7    76 0.80 -
h2tg000223l:1129030-1131294 -            755 25588at71240         -            606  1.2e-165  549.8  16.4   2   5   1.1e-33   6.7e-33  111.3   0.6   268   433    44   205    34   207 0.93 -
h2tg000223l:1129030-1131294 -            755 25588at71240         -            606  1.2e-165  549.8  16.4   3   5   1.6e-30     1e-29  100.7   0.7   296   435   173   308   171   310 0.95 -
