#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   1   2  4.4e-193  9.7e-192  638.0   2.2     1   430    22   521    22   522 0.91 -
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   2   2  3.3e-132  7.4e-131  436.9   0.6   430   659   547   788   538   788 0.96 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   1  11   1.7e-24   3.7e-23   81.0   0.2   204   357     1   154     1   155 0.92 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   2  11   5.8e-31   1.3e-29  102.3   0.2   188   358    55   225    55   229 0.99 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   3  11   1.8e-33     4e-32  110.6   1.2   187   358   229   400   226   404 0.98 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   4  11     3e-33   6.7e-32  109.9   0.4   188   358   335   505   332   508 0.97 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   5  11   2.9e-25   6.4e-24   83.5   0.1   187   317   404   534   402   537 0.94 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   6  11   1.1e-31   2.3e-30  104.8   0.6   186   357   508   679   496   680 0.93 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   7  11   2.2e-26   4.9e-25   87.2   0.1   187   320   579   712   575   715 0.97 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   8  11   2.3e-34   5.2e-33  113.5   0.4   179   358   637   820   637   823 0.96 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5   9  11   3.3e-18   7.3e-17   60.2   0.3   517   628   776   888   773   892 0.70 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5  10  11   1.7e-22   3.9e-21   74.3   0.6   521   637   815   932   809   934 0.91 -
scaffold_9:12117375-12120398  -           1008 21465at71240         -            659  2.1e-262  871.5  58.5  11  11   5.8e-21   1.3e-19   69.3   0.3   187   301   894  1008   889  1008 0.98 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   1  11   2.8e-32   6.2e-31  106.7   0.0   207   358     2   153     1   157 0.97 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   2  11   4.5e-13     1e-11   43.2   0.0   568   628   161   221   159   225 0.94 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   3  11   6.2e-18   1.4e-16   59.3   0.0   566   643   226   303   223   305 0.97 -
